SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,-1.4869E+00,-9.0045E-01,1.4837E-02,1.0619E-01,0.0000E+00,4.0000E+00,2.0194E-02,1.7850E-02,1.3791E-02,-4.2069E-03
1,3.0000E+01,4.5000E+01,-1.4423E+00,-6.6441E-01,1.5896E-02,4.6728E-02,0.0000E+00,4.0000E+00,2.1293E-02,1.4878E-02,7.7175E-03,-6.0522E-03
2,3.0000E+01,6.0000E+01,-1.4462E+00,-6.8524E-01,1.6738E-02,2.5560E-02,0.0000E+00,4.0000E+00,2.2317E-02,8.0731E-03,-1.5390E-04,-5.2864E-03
3,3.0000E+01,7.5000E+01,-1.4145E+00,-8.3512E-01,1.8270E-02,2.0556E-02,0.0000E+00,4.0000E+00,2.4794E-02,5.0407E-03,-6.5975E-04,2.0444E-03
4,3.0000E+01,9.0000E+01,-1.4184E+00,-8.4821E-01,1.6687E-02,2.0612E-02,0.0000E+00,4.0000E+00,2.3260E-02,6.9153E-03,3.9615E-04,4.0792E-03
5,3.0000E+01,1.0500E+02,-1.5380E+00,-8.1244E-01,1.5626E-02,1.4206E-02,0.0000E+00,4.0000E+00,2.1570E-02,1.1767E-02,2.3232E-04,3.2586E-04
6,3.0000E+01,1.2000E+02,-1.5675E+00,-7.7366E-01,1.7268E-02,9.8730E-03,0.0000E+00,4.0000E+00,2.3350E-02,8.3140E-03,4.1072E-03,8.9954E-05
7,3.0000E+01,1.3500E+02,-1.4563E+00,-6.1975E-01,1.8471E-02,8.8277E-03,0.0000E+00,4.0000E+00,2.4538E-02,8.7176E-04,3.4605E-03,-1.2020E-03
8,3.0000E+01,1.5000E+02,-1.4218E+00,-6.1928E-01,1.8162E-02,8.2152E-03,0.0000E+00,4.0000E+00,2.4234E-02,-1.2027E-03,-5.0491E-03,5.4012E-05
9,3.0000E+01,1.6500E+02,-1.4320E+00,-8.3005E-01,1.5948E-02,8.8610E-03,0.0000E+00,4.0000E+00,2.2296E-02,6.7096E-04,1.0525E-03,2.7002E-03
10,3.0000E+01,1.8000E+02,-1.3958E+00,-6.6696E-01,1.7264E-02,8.2291E-03,0.0000E+00,4.0000E+00,2.4485E-02,1.3307E-03,9.4731E-03,1.9247E-03
11,3.0000E+01,1.9500E+02,-1.3616E+00,-5.3775E-01,1.9916E-02,7.1937E-03,0.0000E+00,4.0000E+00,2.7248E-02,1.6600E-03,2.3698E-04,8.3891E-04
12,3.0000E+01,2.1000E+02,-1.3392E+00,-5.6310E-01,1.9478E-02,7.0535E-03,0.0000E+00,4.0000E+00,2.6443E-02,-1.0614E-03,1.1262E-03,-1.4845E-03
13,3.0000E+01,2.2500E+02,-1.3664E+00,-4.3881E-01,1.7882E-02,5.4764E-03,0.0000E+00,4.0000E+00,2.4019E-02,8.6331E-05,1.4080E-03,-1.8105E-03
14,3.0000E+01,2.4000E+02,-1.3745E+00,-6.7213E-01,1.5064E-02,5.5558E-03,0.0000E+00,4.0000E+00,2.0328E-02,-3.3236E-03,-4.4086E-03,2.6111E-03
15,3.0000E+01,2.5500E+02,-1.3544E+00,-6.9167E-01,1.5614E-02,7.4286E-03,0.0000E+00,4.0000E+00,2.1093E-02,-5.1201E-03,-1.4263E-03,1.8512E-03
16,3.0000E+01,2.7000E+02,-1.3808E+00,-5.7482E-01,1.6578E-02,7.3660E-03,0.0000E+00,4.0000E+00,2.2499E-02,-6.5560E-03,4.0034E-03,1.2148E-04
17,3.0000E+01,2.8500E+02,-1.3405E+00,-4.7141E-01,1.4772E-02,7.4896E-03,0.0000E+00,4.0000E+00,2.0505E-02,-6.9968E-03,4.3324E-03,3.4094E-04
18,3.0000E+01,3.0000E+02,-1.2536E+00,-4.8049E-01,1.5059E-02,6.6835E-03,0.0000E+00,4.0000E+00,2.1396E-02,-6.6293E-03,1.1312E-03,-1.3145E-03
19,3.0000E+01,3.1500E+02,-1.2669E+00,-3.8580E-01,1.5051E-02,6.4611E-03,0.0000E+00,4.0000E+00,2.0992E-02,-6.7169E-03,2.7135E-03,-3.1659E-03
20,3.0000E+01,3.3000E+02,-1.2833E+00,-3.8523E-01,1.5243E-02,6.2323E-03,0.0000E+00,4.0000E+00,2.1077E-02,-6.7060E-03,8.7083E-04,-1.8780E-03
21,3.0000E+01,3.4500E+02,-1.2730E+00,-4.5700E-01,1.8093E-02,6.5144E-03,0.0000E+00,4.0000E+00,2.4799E-02,-5.8643E-03,2.7985E-03,1.1837E-03
22,3.0000E+01,3.6000E+02,-1.2664E+00,-3.6076E-01,1.8345E-02,8.3565E-03,0.0000E+00,4.0000E+00,2.5056E-02,-4.0973E-03,1.2343E-02,2.9151E-04
23,3.0000E+01,3.7500E+02,-1.2877E+00,-1.1372E-02,1.0325E-02,7.5383E-03,0.0000E+00,4.0000E+00,1.4738E-02,2.1088E-03,7.0790E-03,-3.7345E-03
24,3.0000E+01,3.9000E+02,-1.4223E+00,-1.5115E-04,1.0706E-02,9.8614E-03,0.0000E+00,4.0000E+00,1.5744E-02,6.7474E-03,-4.7700E-03,-4.2359E-03
25,3.0000E+01,4.0500E+02,-1.3970E+00,-2.1161E-01,1.3891E-02,5.9647E-02,0.0000E+00,4.0000E+00,2.0360E-02,1.4056E-03,-6.0093E-03,-2.8346E-03
26,3.0000E+01,4.2000E+02,-1.2390E+00,-3.1657E-01,1.5851E-02,1.6198E-01,0.0000E+00,4.0000E+00,2.3598E-02,-2.9341E-03,-4.2383E-03,-8.2916E-04
27,3.0000E+01,4.3500E+02,-1.4905E+00,-4.1159E-01,1.4821E-02,2.1995E-01,0.0000E+00,4.0000E+00,2.1782E-02,-2.0297E-03,6.5371E-04,4.2430E-03
28,3.0000E+01,4.5000E+02,-1.4294E+00,-3.5401E-01,1.4972E-02,1.5506E-01,0.0000E+00,4.0000E+00,2.1465E-02,1.0490E-02,2.2579E-03,6.9938E-03
29,3.0000E+01,4.6500E+02,-1.4969E+00,-3.2481E-01,1.6893E-02,1.3099E-01,0.0000E+00,4.0000E+00,2.3964E-02,1.6796E-02,-4.1831E-03,3.5262E-03
30,3.0000E+01,4.8000E+02,-1.4582E+00,-4.2579E-01,1.8222E-02,1.5111E-01,0.0000E+00,4.0000E+00,2.6108E-02,1.1452E-02,-2.3972E-03,5.8833E-03
31,3.0000E+01,4.9500E+02,-1.1978E+00,-4.4046E-01,1.5600E-02,1.5692E-01,0.0000E+00,4.0000E+00,2.2024E-02,4.1782E-03,7.3407E-03,5.4721E-04
32,3.0000E+01,5.1000E+02,-1.4098E+00,-1.6572E-01,1.5289E-02,1.0480E-01,0.0000E+00,4.0000E+00,2.1625E-02,-8.2731E-04,5.8973E-03,-2.2449E-03
33,3.0000E+01,5.2500E+02,-1.5165E+00,-1.9255E-01,1.5084E-02,9.7140E-02,0.0000E+00,4.0000E+00,2.1698E-02,1.9511E-03,3.7621E-03,-6.2764E-04
34,3.0000E+01,5.4000E+02,-1.5195E+00,-8.5643E-02,1.3460E-02,9.0364E-02,0.0000E+00,4.0000E+00,1.8804E-02,2.5365E-03,9.5855E-03,1.1013E-03
35,3.0000E+01,5.5500E+02,-1.4563E+00,1.3445E-01,1.6487E-02,1.1591E-01,0.0000E+00,4.0000E+00,2.3014E-02,-2.0709E-03,3.0010E-03,2.0215E-03
36,3.0000E+01,5.7000E+02,-1.3593E+00,-4.6506E-02,1.9206E-02,1.0560E-01,0.0000E+00,4.0000E+00,2.6925E-02,-7.0391E-03,-3.0958E-03,2.7536E-03
37,3.0000E+01,5.8500E+02,-1.3361E+00,-2.0061E-02,1.9604E-02,7.8397E-02,0.0000E+00,4.0000E+00,2.6744E-02,-6.6389E-03,-9.0449E-05,1.7369E-04
38,3.0000E+01,6.0000E+02,-1.4015E+00,1.5147E-01,1.7191E-02,6.5841E-02,0.0000E+00,4.0000E+00,2.3444E-02,2.1972E-05,-2.1294E-03,-5.5506E-03
39,3.0000E+01,6.1500E+02,-1.5182E+00,8.9395E-02,1.8077E-02,3.6318E-02,0.0000E+00,4.0000E+00,2.4911E-02,4.8052E-03,3.5140E-04,-5.9502E-03
40,3.0000E+01,6.3000E+02,-1.3907E+00,5.0498E-02,1.5882E-02,4.2837E-02,0.0000E+00,4.0000E+00,2.2732E-02,6.0187E-03,2.1444E-03,-1.1532E-03
41,3.0000E+01,6.4500E+02,-1.3133E+00,5.3934E-02,1.3698E-02,6.0424E-02,0.0000E+00,4.0000E+00,1.9377E-02,3.6262E-03,-2.1414E-03,-1.4776E-03
42,3.0000E+01,6.6000E+02,-1.2760E+00,4.5682E-02,1.3870E-02,1.7316E-01,0.0000E+00,4.0000E+00,1.9437E-02,1.3871E-03,2.7456E-04,-5.0392E-03
43,3.0000E+01,6.7500E+02,-1.4216E+00,1.9780E-02,1.4764E-02,1.4565E-01,0.0000E+00,4.0000E+00,2.0638E-02,-1.4922E-03,5.3449E-03,-6.3159E-03
44,3.0000E+01,6.9000E+02,-1.4214E+00,1.9045E-01,1.0048E-02,7.4298E-02,0.0000E+00,4.0000E+00,1.3754E-02,-1.2726E-03,3.9663E-03,-2.4164E-03
45,3.0000E+01,7.0500E+02,-1.4190E+00,2.3157E-01,1.0390E-02,1.0890E-02,0.0000E+00,4.0000E+00,1.3855E-02,2.1635E-03,1.4163E-03,-5.3586E-03
46,3.0000E+01,7.2000E+02,-1.4388E+00,3.0101E-01,1.3303E-02,7.0931E-03,0.0000E+00,4.0000E+00,1.7442E-02,8.9640E-03,-3.5996E-03,-7.3565E-03
47,3.0000E+01,7.3500E+02,-1.4551E+00,2.0736E-01,1.5339E-02,7.6719E-03,0.0000E+00,4.0000E+00,2.0419E-02,1.4751E-02,-4.4208E-03,-5.9580E-03
48,3.0000E+01,7.5000E+02,-1.4133E+00,8.4103E-02,1.7062E-02,7.0082E-03,0.0000E+00,4.0000E+00,2.2838E-02,1.1946E-02,5.0072E-03,-5.5060E-03
49,3.0000E+01,7.6500E+02,-1.3765E+00,1.8214E-01,1.8389E-02,5.1187E-03,0.0000E+00,4.0000E+00,2.4064E-02,6.7756E-03,4.9958E-03,-3.3654E-03
50,3.0000E+01,7.8000E+02,-1.3692E+00,2.1285E-01,1.8789E-02,4.5368E-03,0.0000E+00,4.0000E+00,2.4240E-02,6.6851E-04,-4.2032E-03,-3.4051E-04
51,3.0000E+01,7.9500E+02,-1.3957E+00,5.4458E-02,1.6819E-02,5.8962E-03,0.0000E+00,4.0000E+00,2.2783E-02,1.4195E-03,-2.9895E-03,-1.2251E-03
52,3.0000E+01,8.1000E+02,-1.4137E+00,8.9857E-02,1.6410E-02,7.8076E-03,0.0000E+00,4.0000E+00,2.1959E-02,1.7407E-03,9.4075E-03,1.3760E-03
53,3.0000E+01,8.2500E+02,-1.3590E+00,3.2695E-01,1.6657E-02,8.9840E-03,0.0000E+00,4.0000E+00,2.1800E-02,1.6913E-03,7.9551E-03,1.8478E-03
54,3.0000E+01,8.4000E+02,-1.3162E+00,3.3280E-01,1.6166E-02,8.3402E-03,0.0000E+00,4.0000E+00,2.1550E-02,1.4990E-03,-2.9876E-03,-3.3683E-04
55,3.0000E+01,8.5500E+02,-1.3746E+00,2.6796E-01,1.6405E-02,9.4847E-03,0.0000E+00,4.0000E+00,2.2210E-02,1.4997E-03,-1.6141E-03,-2.2892E-03
56,3.0000E+01,8.7000E+02,-1.4234E+00,2.8691E-01,1.6552E-02,1.1817E-02,0.0000E+00,4.0000E+00,2.2288E-02,2.3945E-03,2.1522E-04,1.5839E-03
57,3.0000E+01,8.8500E+02,-1.3737E+00,1.8921E-01,1.7731E-02,1.4406E-02,0.0000E+00,4.0000E+00,2.3226E-02,3.2962E-03,-3.9814E-04,2.4556E-03
58,3.0000E+01,9.0000E+02,-1.3842E+00,2.5835E-01,1.9285E-02,1.7606E-02,0.0000E+00,4.0000E+00,2.5445E-02,3.8862E-03,7.7748E-04,5.6680E-04
59,3.0000E+01,9.1500E+02,-1.4486E+00,2.8602E-01,1.7957E-02,1.8464E-02,0.0000E+00,4.0000E+00,2.3503E-02,3.8418E-03,7.0593E-03,-4.9233E-04
60,3.0000E+01,9.3000E+02,-1.4214E+00,4.7901E-01,1.0283E-02,1.3352E-02,0.0000E+00,4.0000E+00,1.4358E-02,3.7292E-03,2.8712E-03,3.6424E-03
61,3.0000E+01,9.4500E+02,-1.2113E+00,3.8236E-01,8.1007E-03,1.3833E-02,0.0000E+00,4.0000E+00,1.2295E-02,1.8303E-03,-2.1247E-03,4.5416E-03
62,3.0000E+01,9.6000E+02,1.6246E-01,-1.4078E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
