SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,-1.6012E+00,-9.1442E-01,1.5229E-02,1.0881E-01,0.0000E+00,4.0000E+00,2.0721E-02,2.0923E-02,8.9522E-03,-3.1110E-03
1,3.0000E+01,4.5000E+01,-1.4590E+00,-7.0718E-01,1.4748E-02,5.1285E-02,0.0000E+00,4.0000E+00,1.9785E-02,1.4196E-02,4.7352E-03,-5.8597E-03
2,3.0000E+01,6.0000E+01,-1.4230E+00,-7.0164E-01,1.5783E-02,2.9790E-02,0.0000E+00,4.0000E+00,2.1085E-02,3.6411E-03,-1.4458E-03,-5.9252E-03
3,3.0000E+01,7.5000E+01,-1.3963E+00,-8.6782E-01,1.7278E-02,2.4846E-02,0.0000E+00,4.0000E+00,2.3536E-02,3.7496E-03,-1.9147E-03,1.8556E-03
4,3.0000E+01,9.0000E+01,-1.3968E+00,-9.4656E-01,1.5306E-02,1.8774E-02,0.0000E+00,4.0000E+00,2.1556E-02,9.9937E-03,1.6005E-03,4.0380E-03
5,3.0000E+01,1.0500E+02,-1.5276E+00,-8.6715E-01,1.4520E-02,1.2928E-02,0.0000E+00,4.0000E+00,2.0128E-02,1.6975E-02,6.0595E-03,-6.1050E-04
6,3.0000E+01,1.2000E+02,-1.5927E+00,-6.6271E-01,1.5635E-02,9.7060E-03,0.0000E+00,4.0000E+00,2.1024E-02,1.4405E-02,6.8028E-03,-1.4297E-03
7,3.0000E+01,1.3500E+02,-1.5133E+00,-5.6710E-01,1.6582E-02,8.6111E-03,0.0000E+00,4.0000E+00,2.1923E-02,8.9268E-03,-3.0813E-04,-1.3662E-03
8,3.0000E+01,1.5000E+02,-1.4544E+00,-6.6538E-01,1.7693E-02,7.8534E-03,0.0000E+00,4.0000E+00,2.3654E-02,5.1094E-03,-1.9260E-03,-1.7784E-03
9,3.0000E+01,1.6500E+02,-1.4402E+00,-6.1563E-01,1.5742E-02,8.1315E-03,0.0000E+00,4.0000E+00,2.1800E-02,3.2078E-03,4.4220E-03,-1.1097E-03
10,3.0000E+01,1.8000E+02,-1.4464E+00,-5.9222E-01,1.7525E-02,7.4692E-03,0.0000E+00,4.0000E+00,2.4751E-02,1.7824E-03,4.1931E-03,-2.7774E-04
11,3.0000E+01,1.9500E+02,-1.4137E+00,-5.6148E-01,2.0105E-02,6.8859E-03,0.0000E+00,4.0000E+00,2.7507E-02,1.4601E-03,-1.9517E-03,1.6592E-03
12,3.0000E+01,2.1000E+02,-1.4139E+00,-6.0805E-01,1.8077E-02,6.9916E-03,0.0000E+00,4.0000E+00,2.4555E-02,6.5817E-04,1.7034E-03,1.8955E-04
13,3.0000E+01,2.2500E+02,-1.4268E+00,-4.9563E-01,1.8387E-02,5.8838E-03,0.0000E+00,4.0000E+00,2.4778E-02,-9.7921E-04,2.2949E-03,-6.6465E-04
14,3.0000E+01,2.4000E+02,-1.4144E+00,-5.8393E-01,1.7234E-02,5.6030E-03,0.0000E+00,4.0000E+00,2.3012E-02,-4.1619E-03,-3.4805E-03,1.8286E-03
15,3.0000E+01,2.5500E+02,-1.3703E+00,-6.2509E-01,1.5792E-02,6.6129E-03,0.0000E+00,4.0000E+00,2.1213E-02,-6.4181E-03,-4.4211E-04,2.6177E-03
16,3.0000E+01,2.7000E+02,-1.3040E+00,-5.4451E-01,1.5559E-02,7.6382E-03,0.0000E+00,4.0000E+00,2.1119E-02,-6.3234E-03,-2.2980E-05,3.4277E-04
17,3.0000E+01,2.8500E+02,-1.3033E+00,-5.5000E-01,1.5491E-02,8.5077E-03,0.0000E+00,4.0000E+00,2.1466E-02,-6.2279E-03,-1.8416E-03,-1.1112E-03
18,3.0000E+01,3.0000E+02,-1.2747E+00,-6.0359E-01,1.7698E-02,7.1988E-03,0.0000E+00,4.0000E+00,2.5123E-02,-5.5216E-03,1.1837E-03,-2.3004E-03
19,3.0000E+01,3.1500E+02,-1.2931E+00,-5.0691E-01,1.6065E-02,6.6757E-03,0.0000E+00,4.0000E+00,2.2527E-02,-5.4020E-03,2.6952E-03,-2.9511E-03
20,3.0000E+01,3.3000E+02,-1.3338E+00,-5.2016E-01,1.5441E-02,6.9046E-03,0.0000E+00,4.0000E+00,2.1530E-02,-5.1750E-03,-1.0911E-03,-2.0407E-04
21,3.0000E+01,3.4500E+02,-1.3082E+00,-6.6357E-01,1.9719E-02,7.3794E-03,0.0000E+00,4.0000E+00,2.7457E-02,-4.4807E-03,4.3986E-03,3.6554E-03
22,3.0000E+01,3.6000E+02,-1.2489E+00,-4.4452E-01,1.9567E-02,9.2733E-03,0.0000E+00,4.0000E+00,2.6804E-02,-2.9147E-03,1.3490E-02,2.6408E-03
23,3.0000E+01,3.7500E+02,-1.2632E+00,-1.4373E-01,1.0694E-02,7.6577E-03,0.0000E+00,4.0000E+00,1.5019E-02,3.5495E-03,8.6861E-03,-4.9319E-03
24,3.0000E+01,3.9000E+02,-1.5235E+00,-4.4921E-02,1.0830E-02,9.6886E-03,0.0000E+00,4.0000E+00,1.5825E-02,7.0456E-03,-4.6481E-04,-9.0695E-03
