SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,-1.7442E-01,-2.9754E-01,1.7168E-02,1.0016E-01,0.0000E+00,4.0000E+00,2.3898E-02,8.3691E-03,1.0060E-02,-7.5283E-03
1,3.0000E+01,4.5000E+01,-1.8396E-01,-1.0096E-01,1.5525E-02,4.9258E-02,0.0000E+00,4.0000E+00,2.0914E-02,2.5561E-03,7.5889E-03,-5.7388E-03
2,3.0000E+01,6.0000E+01,-1.6462E-01,-4.6597E-02,1.6341E-02,2.7689E-02,0.0000E+00,4.0000E+00,2.1425E-02,-6.3999E-03,-3.9961E-04,-1.8961E-03
3,3.0000E+01,7.5000E+01,-1.1561E-01,-1.8580E-01,1.7288E-02,1.9195E-02,0.0000E+00,4.0000E+00,2.5725E-02,-3.8711E-03,-3.3176E-03,3.0923E-03
4,3.0000E+01,9.0000E+01,-9.9649E-02,-2.1590E-01,1.5895E-02,1.6372E-02,0.0000E+00,4.0000E+00,2.4539E-02,6.0274E-03,7.4497E-05,3.5345E-03
5,3.0000E+01,1.0500E+02,-2.5480E-01,-2.2547E-01,1.5322E-02,1.3698E-02,0.0000E+00,4.0000E+00,2.1906E-02,1.6711E-02,8.0680E-04,8.0767E-04
6,3.0000E+01,1.2000E+02,-3.3800E-01,-2.0765E-01,1.5070E-02,1.0514E-02,0.0000E+00,4.0000E+00,2.0571E-02,1.7504E-02,1.0137E-03,3.3438E-03
7,3.0000E+01,1.3500E+02,-1.8537E-01,-2.0660E-01,1.5888E-02,7.9067E-03,0.0000E+00,4.0000E+00,2.2650E-02,1.1859E-02,-3.7361E-03,3.6755E-03
8,3.0000E+01,1.5000E+02,-1.3183E-01,-2.7782E-01,1.7159E-02,6.8940E-03,0.0000E+00,4.0000E+00,2.5553E-02,7.5267E-03,-9.1470E-03,1.4244E-03
9,3.0000E+01,1.6500E+02,-1.5655E-01,-3.8967E-01,1.5314E-02,7.5864E-03,0.0000E+00,4.0000E+00,2.2554E-02,6.7767E-03,-9.5608E-04,-6.4802E-04
10,3.0000E+01,1.8000E+02,-1.8333E-01,-3.2107E-01,1.4785E-02,7.1463E-03,0.0000E+00,4.0000E+00,2.1698E-02,1.6846E-03,8.2215E-03,-3.5419E-03
11,3.0000E+01,1.9500E+02,-1.8051E-01,-1.5806E-01,1.6203E-02,6.8492E-03,0.0000E+00,4.0000E+00,2.2542E-02,-2.9981E-03,7.0832E-03,-2.8876E-03
12,3.0000E+01,2.1000E+02,-1.5194E-01,1.0240E-03,1.7226E-02,6.4895E-03,0.0000E+00,4.0000E+00,2.3054E-02,-5.7043E-03,6.5598E-03,-1.8999E-03
13,3.0000E+01,2.2500E+02,-1.6838E-01,6.5476E-02,1.6801E-02,5.0566E-03,0.0000E+00,4.0000E+00,2.2006E-02,-2.8573E-03,-3.5308E-03,-2.1122E-03
14,3.0000E+01,2.4000E+02,-1.4528E-01,-2.2040E-01,1.4794E-02,4.9139E-03,0.0000E+00,4.0000E+00,2.2312E-02,-3.3249E-03,-8.8620E-03,-1.8930E-04
15,3.0000E+01,2.5500E+02,-1.6815E-01,-2.7975E-01,1.4405E-02,5.0786E-03,0.0000E+00,4.0000E+00,2.1349E-02,-5.2867E-03,1.3324E-03,2.1511E-04
16,3.0000E+01,2.7000E+02,-1.5191E-01,-1.3900E-01,1.5784E-02,6.1139E-03,0.0000E+00,4.0000E+00,2.2210E-02,-6.4201E-03,6.0295E-03,8.4940E-04
17,3.0000E+01,2.8500E+02,-5.9684E-02,-3.9187E-03,1.5264E-02,6.6403E-03,0.0000E+00,4.0000E+00,2.1422E-02,-6.5730E-03,1.6297E-03,8.7207E-04
18,3.0000E+01,3.0000E+02,3.5443E-02,-8.2474E-02,1.5678E-02,6.4533E-03,0.0000E+00,4.0000E+00,2.2149E-02,-6.3455E-03,-1.6006E-03,-1.6230E-03
19,3.0000E+01,3.1500E+02,-9.4663E-04,-8.3908E-02,1.4688E-02,6.5863E-03,0.0000E+00,4.0000E+00,2.1455E-02,-6.5163E-03,-8.2123E-04,-2.7397E-03
20,3.0000E+01,3.3000E+02,-4.8637E-02,-1.2836E-01,1.3381E-02,6.1412E-03,0.0000E+00,4.0000E+00,2.0179E-02,-6.4258E-03,-2.9094E-03,-4.0468E-04
21,3.0000E+01,3.4500E+02,-2.0671E-02,-2.2624E-01,1.5604E-02,6.3281E-03,0.0000E+00,4.0000E+00,2.4038E-02,-5.7415E-03,6.6288E-04,1.5312E-03
22,3.0000E+01,3.6000E+02,1.5330E-02,-1.0271E-01,1.7145E-02,7.4453E-03,0.0000E+00,4.0000E+00,2.5467E-02,-4.0080E-03,6.5156E-03,-5.2958E-04
23,3.0000E+01,3.7500E+02,-2.2758E-02,6.0687E-02,1.0069E-02,6.2917E-03,0.0000E+00,4.0000E+00,1.4888E-02,1.0531E-03,3.9632E-03,-5.9051E-03
24,3.0000E+01,3.9000E+02,-1.9850E-01,1.0821E-01,9.9484E-03,8.5282E-03,0.0000E+00,4.0000E+00,1.5828E-02,4.6233E-03,-1.6046E-03,-6.0705E-03
25,3.0000E+01,4.0500E+02,-2.0470E-01,-4.2831E-02,1.1675E-02,5.3028E-02,0.0000E+00,4.0000E+00,1.6963E-02,-5.0156E-04,-7.4944E-03,-3.5677E-03
26,3.0000E+01,4.2000E+02,-4.3784E-02,-2.0162E-01,1.2872E-02,1.6392E-01,0.0000E+00,4.0000E+00,1.7244E-02,-3.1071E-03,-6.2497E-03,-1.2635E-03
27,3.0000E+01,4.3500E+02,-3.0442E-01,-3.1647E-01,1.3471E-02,2.4053E-01,0.0000E+00,4.0000E+00,1.9308E-02,-3.3979E-03,3.6338E-04,5.6170E-03
28,3.0000E+01,4.5000E+02,-8.1223E-02,-3.1369E-01,1.3689E-02,1.3886E-01,0.0000E+00,4.0000E+00,1.9091E-02,2.4984E-03,1.7030E-03,1.0087E-02
29,3.0000E+01,4.6500E+02,-4.1300E-02,-2.6965E-01,1.4568E-02,1.2268E-01,0.0000E+00,4.0000E+00,2.0690E-02,3.6817E-03,-3.1869E-04,2.8929E-03
30,3.0000E+01,4.8000E+02,-1.8183E-01,-2.4766E-01,1.7780E-02,1.3098E-01,0.0000E+00,4.0000E+00,2.5485E-02,1.5643E-03,1.7640E-06,3.6159E-03
31,3.0000E+01,4.9500E+02,-5.0040E-02,-2.6624E-01,1.7184E-02,1.0185E-01,0.0000E+00,4.0000E+00,2.4386E-02,-5.3802E-04,3.3029E-03,1.8639E-03
32,3.0000E+01,5.1000E+02,-9.7271E-02,-9.6228E-02,1.7191E-02,9.5957E-02,0.0000E+00,4.0000E+00,2.4018E-02,-1.9543E-03,4.3431E-03,2.7587E-04
33,3.0000E+01,5.2500E+02,-1.4017E-01,-8.1773E-02,1.6273E-02,1.1751E-01,0.0000E+00,4.0000E+00,2.3225E-02,-2.5797E-04,2.0133E-03,2.3100E-03
