SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,-1.4728E+00,-7.5783E-01,1.6728E-02,1.1701E-01,0.0000E+00,4.0000E+00,2.2755E-02,7.5542E-03,1.3759E-02,-2.8154E-03
1,3.0000E+01,4.5000E+01,-1.3645E+00,-5.1436E-01,1.6967E-02,5.4615E-02,0.0000E+00,4.0000E+00,2.2623E-02,4.2326E-03,3.7828E-03,-3.1791E-03
2,3.0000E+01,6.0000E+01,-1.3762E+00,-6.2428E-01,1.7757E-02,2.9068E-02,0.0000E+00,4.0000E+00,2.3629E-02,-1.4275E-03,-1.5111E-04,-3.0688E-03
3,3.0000E+01,7.5000E+01,-1.3600E+00,-5.4129E-01,1.9008E-02,2.2252E-02,0.0000E+00,4.0000E+00,2.5223E-02,3.6348E-03,3.2324E-04,1.1267E-04
4,3.0000E+01,9.0000E+01,-1.3453E+00,-6.1253E-01,1.6812E-02,1.8740E-02,0.0000E+00,4.0000E+00,2.2994E-02,9.4886E-03,-4.5079E-03,-2.0724E-03
5,3.0000E+01,1.0500E+02,-1.4793E+00,-6.9009E-01,1.5801E-02,1.2129E-02,0.0000E+00,4.0000E+00,2.1669E-02,1.4773E-02,7.7398E-04,-5.3456E-03
6,3.0000E+01,1.2000E+02,-1.5431E+00,-6.1247E-01,1.5761E-02,8.6312E-03,0.0000E+00,4.0000E+00,2.1165E-02,1.3053E-02,8.0917E-03,-1.5691E-03
7,3.0000E+01,1.3500E+02,-1.4550E+00,-4.5221E-01,1.5792E-02,7.8760E-03,0.0000E+00,4.0000E+00,2.0763E-02,1.1586E-02,6.2533E-03,6.5398E-05
8,3.0000E+01,1.5000E+02,-1.3797E+00,-3.8057E-01,1.7088E-02,6.7841E-03,0.0000E+00,4.0000E+00,2.2529E-02,7.0792E-03,-5.3645E-03,-1.4464E-03
9,3.0000E+01,1.6500E+02,-1.2931E+00,-5.8022E-01,1.4815E-02,7.4135E-03,0.0000E+00,4.0000E+00,2.0543E-02,4.2493E-03,-2.9474E-03,-3.0990E-03
10,3.0000E+01,1.8000E+02,-1.3286E+00,-5.2355E-01,1.5099E-02,8.0779E-03,0.0000E+00,4.0000E+00,2.1304E-02,7.5433E-04,8.5624E-03,-2.8880E-03
11,3.0000E+01,1.9500E+02,-1.3793E+00,-3.7429E-01,1.7473E-02,7.2714E-03,0.0000E+00,4.0000E+00,2.3849E-02,1.0888E-03,6.3480E-03,-1.4982E-03
12,3.0000E+01,2.1000E+02,-1.3706E+00,-3.2075E-01,1.6525E-02,6.8065E-03,0.0000E+00,4.0000E+00,2.2213E-02,-9.6535E-04,2.4009E-03,-2.1064E-03
13,3.0000E+01,2.2500E+02,-1.3942E+00,-2.7346E-01,1.6337E-02,5.1407E-03,0.0000E+00,4.0000E+00,2.1640E-02,-3.0542E-03,-6.6599E-03,-1.7772E-03
14,3.0000E+01,2.4000E+02,-1.4025E+00,-5.8423E-01,1.6055E-02,5.3355E-03,0.0000E+00,4.0000E+00,2.1449E-02,-5.2944E-03,-1.1280E-02,2.2282E-03
15,3.0000E+01,2.5500E+02,-1.3556E+00,-7.1166E-01,1.5002E-02,6.4029E-03,0.0000E+00,4.0000E+00,2.0297E-02,-5.7070E-03,-5.5409E-03,3.5326E-03
16,3.0000E+01,2.7000E+02,-1.3506E+00,-7.2510E-01,1.4728E-02,7.2058E-03,0.0000E+00,4.0000E+00,2.0162E-02,-5.5069E-03,3.9419E-07,2.4566E-03
17,3.0000E+01,2.8500E+02,-1.3293E+00,-6.5516E-01,1.4726E-02,7.6130E-03,0.0000E+00,4.0000E+00,2.0379E-02,-5.4883E-03,3.0123E-03,3.2575E-03
18,3.0000E+01,3.0000E+02,-1.2468E+00,-6.6206E-01,1.7123E-02,6.4352E-03,0.0000E+00,4.0000E+00,2.4292E-02,-5.4252E-03,6.1807E-03,1.5595E-03
19,3.0000E+01,3.1500E+02,-1.2349E+00,-4.1018E-01,1.7600E-02,6.9026E-03,0.0000E+00,4.0000E+00,2.4588E-02,-5.6119E-03,5.3461E-03,-1.2007E-03
