SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,-5.1285E-01,-3.2529E-01,1.4578E-02,9.9190E-02,0.0000E+00,4.0000E+00,1.9846E-02,-2.3310E-03,1.6949E-02,-5.3069E-03
1,3.0000E+01,4.5000E+01,-5.4392E-01,3.2679E-02,1.4160E-02,5.7225E-02,0.0000E+00,4.0000E+00,1.8827E-02,2.1795E-03,6.6582E-03,-2.9055E-03
2,3.0000E+01,6.0000E+01,-5.3491E-01,-7.7524E-02,1.3663E-02,3.5106E-02,0.0000E+00,4.0000E+00,1.7779E-02,8.7625E-03,-2.3863E-04,2.9000E-04
3,3.0000E+01,7.5000E+01,-4.8097E-01,-1.2834E-01,1.3403E-02,2.8196E-02,0.0000E+00,4.0000E+00,1.7558E-02,1.7488E-02,-5.3968E-03,3.6641E-03
4,3.0000E+01,9.0000E+01,-4.4775E-01,-3.5305E-01,1.3230E-02,2.1365E-02,0.0000E+00,4.0000E+00,1.8884E-02,2.3572E-02,-8.8362E-03,2.5030E-03
5,3.0000E+01,1.0500E+02,-6.0916E-01,-4.1583E-01,1.3419E-02,1.6504E-02,0.0000E+00,4.0000E+00,1.8825E-02,2.6980E-02,2.9113E-03,-1.6734E-03
6,3.0000E+01,1.2000E+02,-6.5157E-01,-1.6863E-01,1.3852E-02,1.1844E-02,0.0000E+00,4.0000E+00,1.8455E-02,2.4179E-02,4.5101E-03,-1.4038E-03
7,3.0000E+01,1.3500E+02,-5.3274E-01,-1.6937E-01,1.3554E-02,9.5046E-03,0.0000E+00,4.0000E+00,1.7831E-02,1.8385E-02,-5.0677E-03,-1.9797E-03
8,3.0000E+01,1.5000E+02,-4.7855E-01,-3.3281E-01,1.3871E-02,8.2662E-03,0.0000E+00,4.0000E+00,1.8967E-02,1.5458E-02,-8.1556E-03,3.4099E-03
9,3.0000E+01,1.6500E+02,-4.2870E-01,-6.1765E-01,1.3920E-02,9.3992E-03,0.0000E+00,4.0000E+00,2.0207E-02,1.5712E-02,-2.5014E-04,8.8878E-03
