SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,-2.0255E-01,-2.2284E-01,1.6961E-02,1.0356E-01,0.0000E+00,4.0000E+00,2.3305E-02,1.6200E-02,1.5573E-02,-2.7282E-03
1,3.0000E+01,4.5000E+01,-1.1833E-01,8.2452E-03,1.5053E-02,4.7175E-02,0.0000E+00,4.0000E+00,2.0023E-02,1.1942E-02,1.1023E-02,-2.5692E-03
2,3.0000E+01,6.0000E+01,-1.1330E-01,8.1196E-02,1.5075E-02,2.7557E-02,0.0000E+00,4.0000E+00,2.0792E-02,5.3425E-03,-9.8047E-04,-5.7014E-04
3,3.0000E+01,7.5000E+01,-9.6137E-02,-8.6763E-02,1.6688E-02,2.1104E-02,0.0000E+00,4.0000E+00,2.3487E-02,7.3282E-03,-6.8470E-03,3.6383E-03
4,3.0000E+01,9.0000E+01,-8.2253E-02,-1.8156E-01,1.6967E-02,1.6816E-02,0.0000E+00,4.0000E+00,2.6214E-02,1.3283E-02,-4.6011E-03,3.2906E-03
5,3.0000E+01,1.0500E+02,-2.4674E-01,-2.7059E-01,1.6347E-02,1.2893E-02,0.0000E+00,4.0000E+00,2.3754E-02,1.6725E-02,-3.1477E-03,-1.5854E-03
6,3.0000E+01,1.2000E+02,-2.9795E-01,-2.0627E-01,1.4930E-02,1.0039E-02,0.0000E+00,4.0000E+00,2.0507E-02,1.3881E-02,2.9198E-03,-3.7865E-05
7,3.0000E+01,1.3500E+02,-1.8176E-01,-7.7326E-02,1.5013E-02,8.1956E-03,0.0000E+00,4.0000E+00,1.9944E-02,7.7934E-03,2.1757E-03,-2.4321E-04
8,3.0000E+01,1.5000E+02,-1.2693E-01,-1.3137E-01,1.7307E-02,6.8809E-03,0.0000E+00,4.0000E+00,2.4406E-02,1.9346E-03,-7.5566E-03,-1.2225E-03
9,3.0000E+01,1.6500E+02,-7.8956E-02,-3.2077E-01,1.5943E-02,7.5218E-03,0.0000E+00,4.0000E+00,2.3603E-02,-1.4266E-03,-3.6355E-03,-1.1234E-04
10,3.0000E+01,1.8000E+02,-1.0391E-01,-3.2847E-01,1.4663E-02,8.0392E-03,0.0000E+00,4.0000E+00,2.1548E-02,-6.1306E-03,6.0244E-03,-7.4726E-04
11,3.0000E+01,1.9500E+02,-1.0368E-01,-1.3092E-01,1.6483E-02,7.5770E-03,0.0000E+00,4.0000E+00,2.3228E-02,-6.3405E-03,6.0473E-03,-1.3943E-03
12,3.0000E+01,2.1000E+02,-5.1917E-02,3.4180E-02,1.7118E-02,7.0050E-03,0.0000E+00,4.0000E+00,2.3733E-02,-5.6855E-03,7.2787E-03,-3.1041E-03
13,3.0000E+01,2.2500E+02,-7.0779E-02,1.3653E-01,1.6726E-02,5.0574E-03,0.0000E+00,4.0000E+00,2.4367E-02,-2.8488E-03,-5.9233E-03,-4.8822E-03
