SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,-1.5143E+00,-8.3113E-01,1.5118E-02,1.0824E-01,0.0000E+00,4.0000E+00,2.0567E-02,7.2047E-03,1.4451E-02,-2.5125E-03
1,3.0000E+01,4.5000E+01,-1.4306E+00,-5.4294E-01,1.5739E-02,4.6734E-02,0.0000E+00,4.0000E+00,2.0987E-02,4.2279E-03,6.8318E-03,-4.6071E-03
2,3.0000E+01,6.0000E+01,-1.4358E+00,-5.7901E-01,1.8184E-02,2.6279E-02,0.0000E+00,4.0000E+00,2.4081E-02,-2.4650E-04,-9.3685E-04,-4.2002E-03
3,3.0000E+01,7.5000E+01,-1.4460E+00,-7.2341E-01,1.9879E-02,2.0767E-02,0.0000E+00,4.0000E+00,2.6687E-02,-2.6555E-03,-1.9442E-03,1.4417E-04
4,3.0000E+01,9.0000E+01,-1.4419E+00,-7.4929E-01,1.6836E-02,1.7075E-02,0.0000E+00,4.0000E+00,2.3226E-02,-3.6579E-04,-1.8719E-03,2.4475E-03
5,3.0000E+01,1.0500E+02,-1.5180E+00,-7.5200E-01,1.5118E-02,1.2544E-02,0.0000E+00,4.0000E+00,2.0796E-02,5.2933E-03,9.2814E-04,1.4409E-03
6,3.0000E+01,1.2000E+02,-1.5607E+00,-6.9569E-01,1.5384E-02,9.9927E-03,0.0000E+00,4.0000E+00,2.0729E-02,8.5965E-03,6.0361E-03,2.4258E-03
7,3.0000E+01,1.3500E+02,-1.4260E+00,-5.3697E-01,1.7154E-02,8.9589E-03,0.0000E+00,4.0000E+00,2.2683E-02,9.5280E-03,2.7895E-03,2.7095E-03
8,3.0000E+01,1.5000E+02,-1.3770E+00,-6.1244E-01,1.7907E-02,8.0166E-03,0.0000E+00,4.0000E+00,2.3912E-02,9.2511E-03,-7.1845E-03,1.8692E-03
9,3.0000E+01,1.6500E+02,-1.4285E+00,-8.2765E-01,1.5568E-02,8.1664E-03,0.0000E+00,4.0000E+00,2.1765E-02,8.4505E-03,-5.4680E-04,1.4142E-03
10,3.0000E+01,1.8000E+02,-1.4470E+00,-6.7459E-01,1.6589E-02,7.3282E-03,0.0000E+00,4.0000E+00,2.3510E-02,2.7771E-03,8.0667E-03,5.6570E-04
11,3.0000E+01,1.9500E+02,-1.3995E+00,-5.2435E-01,2.0147E-02,6.5194E-03,0.0000E+00,4.0000E+00,2.7551E-02,-1.0974E-03,1.9298E-03,3.5806E-04
12,3.0000E+01,2.1000E+02,-1.4534E+00,-5.5277E-01,1.8041E-02,6.6710E-03,0.0000E+00,4.0000E+00,2.4431E-02,-3.7243E-03,1.4356E-03,9.0190E-05
13,3.0000E+01,2.2500E+02,-1.4544E+00,-4.9515E-01,1.7667E-02,5.6847E-03,0.0000E+00,4.0000E+00,2.3787E-02,-3.0894E-03,-8.0133E-04,9.2273E-04
14,3.0000E+01,2.4000E+02,-1.3696E+00,-5.9831E-01,1.7514E-02,5.7524E-03,0.0000E+00,4.0000E+00,2.3464E-02,-4.7504E-03,-2.3653E-03,3.2432E-03
15,3.0000E+01,2.5500E+02,-1.3290E+00,-5.8791E-01,1.5996E-02,6.7298E-03,0.0000E+00,4.0000E+00,2.1457E-02,-5.9268E-03,2.9104E-03,1.9568E-03
16,3.0000E+01,2.7000E+02,-1.2974E+00,-4.7522E-01,1.6733E-02,7.0269E-03,0.0000E+00,4.0000E+00,2.2636E-02,-5.0502E-03,2.9719E-03,-5.5941E-04
17,3.0000E+01,2.8500E+02,-1.3370E+00,-4.2818E-01,1.4348E-02,7.5910E-03,0.0000E+00,4.0000E+00,1.9934E-02,-5.5690E-03,-2.7019E-04,-1.6880E-03
18,3.0000E+01,3.0000E+02,-1.2904E+00,-4.8261E-01,1.5190E-02,7.0508E-03,0.0000E+00,4.0000E+00,2.1583E-02,-5.9506E-03,-4.8974E-03,-2.3361E-03
19,3.0000E+01,3.1500E+02,-1.2696E+00,-5.2619E-01,1.6141E-02,6.9273E-03,0.0000E+00,4.0000E+00,2.2665E-02,-6.6262E-03,-2.1472E-03,-2.9932E-03
20,3.0000E+01,3.3000E+02,-1.2947E+00,-5.4646E-01,1.6993E-02,6.3306E-03,0.0000E+00,4.0000E+00,2.3765E-02,-6.3977E-03,2.9605E-03,-2.2339E-03
21,3.0000E+01,3.4500E+02,-1.3036E+00,-5.4432E-01,1.9611E-02,6.4496E-03,0.0000E+00,4.0000E+00,2.7045E-02,-5.3349E-03,5.6820E-03,1.0451E-03
22,3.0000E+01,3.6000E+02,-1.2985E+00,-4.3598E-01,1.8963E-02,8.3242E-03,0.0000E+00,4.0000E+00,2.5953E-02,-3.5072E-03,1.1789E-02,6.1340E-04
23,3.0000E+01,3.7500E+02,-1.3267E+00,-1.2976E-01,1.1375E-02,7.7206E-03,0.0000E+00,4.0000E+00,1.6014E-02,2.9652E-03,5.0649E-03,-1.8527E-03
24,3.0000E+01,3.9000E+02,-1.4201E+00,-1.6056E-01,1.0635E-02,9.1902E-03,0.0000E+00,4.0000E+00,1.5258E-02,7.1714E-03,-3.4772E-03,-3.9826E-03
25,3.0000E+01,4.0500E+02,-1.4767E+00,-2.8123E-01,1.3703E-02,4.8585E-02,0.0000E+00,4.0000E+00,1.9967E-02,3.5654E-03,-3.0124E-03,-3.3296E-03
26,3.0000E+01,4.2000E+02,-1.3199E+00,-3.3924E-01,1.7533E-02,1.3319E-01,0.0000E+00,4.0000E+00,2.6099E-02,2.0181E-03,-3.8354E-03,8.3260E-04
27,3.0000E+01,4.3500E+02,-1.5127E+00,-4.4342E-01,1.6880E-02,1.9963E-01,0.0000E+00,4.0000E+00,2.4801E-02,5.1511E-03,-4.4307E-03,4.0451E-03
28,3.0000E+01,4.5000E+02,-1.4855E+00,-5.5842E-01,1.4767E-02,1.5240E-01,0.0000E+00,4.0000E+00,2.1122E-02,1.4139E-02,-6.8413E-04,5.5224E-03
29,3.0000E+01,4.6500E+02,-1.5777E+00,-5.3638E-01,1.5258E-02,1.2667E-01,0.0000E+00,4.0000E+00,2.1690E-02,1.3028E-02,5.7376E-03,4.8236E-03
30,3.0000E+01,4.8000E+02,-1.4493E+00,-3.4474E-01,1.8010E-02,1.4715E-01,0.0000E+00,4.0000E+00,2.5776E-02,4.5324E-03,7.6793E-03,7.6538E-03
31,3.0000E+01,4.9500E+02,-1.2139E+00,-2.0457E-01,1.5828E-02,1.3855E-01,0.0000E+00,4.0000E+00,2.2324E-02,-1.3698E-03,5.9644E-03,2.9775E-04
32,3.0000E+01,5.1000E+02,-1.3505E+00,-4.3696E-02,1.4065E-02,1.0745E-01,0.0000E+00,4.0000E+00,1.9936E-02,-2.1168E-03,-2.6350E-03,-4.1041E-03
33,3.0000E+01,5.2500E+02,-1.4484E+00,-2.4502E-01,1.3911E-02,1.1761E-01,0.0000E+00,4.0000E+00,2.0003E-02,1.3415E-03,-3.8207E-03,-2.7475E-03
34,3.0000E+01,5.4000E+02,-1.4230E+00,-2.2949E-01,1.3148E-02,1.0108E-01,0.0000E+00,4.0000E+00,1.8370E-02,3.2238E-03,9.2512E-03,-1.4793E-03
35,3.0000E+01,5.5500E+02,-1.4831E+00,2.7659E-02,1.4021E-02,1.2153E-01,0.0000E+00,4.0000E+00,1.9579E-02,1.6688E-03,2.2435E-03,-7.3728E-04
36,3.0000E+01,5.7000E+02,-1.5142E+00,-2.4829E-01,1.6190E-02,1.1366E-01,0.0000E+00,4.0000E+00,2.2751E-02,1.1590E-03,-9.2116E-03,3.7238E-03
37,3.0000E+01,5.8500E+02,-1.4591E+00,-3.5529E-01,1.8754E-02,7.5499E-02,0.0000E+00,4.0000E+00,2.5569E-02,4.7405E-03,-2.3623E-03,4.1240E-03
38,3.0000E+01,6.0000E+02,-1.5001E+00,-1.6308E-01,1.7694E-02,6.0686E-02,0.0000E+00,4.0000E+00,2.3922E-02,1.0810E-02,3.6284E-03,-1.1824E-03
39,3.0000E+01,6.1500E+02,-1.5790E+00,-8.7585E-02,1.6463E-02,3.4782E-02,0.0000E+00,4.0000E+00,2.2650E-02,1.3935E-02,4.6060E-03,-3.2781E-03
40,3.0000E+01,6.3000E+02,-1.4697E+00,-9.5227E-02,1.5051E-02,5.0427E-02,0.0000E+00,4.0000E+00,2.1556E-02,1.4044E-02,-5.1032E-04,1.2039E-03
41,3.0000E+01,6.4500E+02,-1.3502E+00,-1.4160E-01,1.5355E-02,7.2863E-02,0.0000E+00,4.0000E+00,2.1933E-02,1.2475E-02,-2.5906E-03,1.6116E-04
42,3.0000E+01,6.6000E+02,-1.2987E+00,-8.5428E-02,1.6194E-02,1.8465E-01,0.0000E+00,4.0000E+00,2.2828E-02,9.6854E-03,-2.2415E-03,-6.1425E-03
43,3.0000E+01,6.7500E+02,-1.4406E+00,-2.1958E-01,1.5843E-02,1.3820E-01,0.0000E+00,4.0000E+00,2.2356E-02,5.9097E-03,5.5579E-03,-8.5491E-03
44,3.0000E+01,6.9000E+02,-1.4475E+00,8.4996E-02,1.0504E-02,6.1407E-02,0.0000E+00,4.0000E+00,1.4426E-02,2.0751E-03,1.1748E-02,-3.8819E-03
45,3.0000E+01,7.0500E+02,-1.4533E+00,1.4959E-01,1.0319E-02,9.4490E-03,0.0000E+00,4.0000E+00,1.3770E-02,2.4654E-03,4.4300E-03,-5.9091E-03
