SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,-7.2082E-02,-4.2088E-02,1.7359E-02,9.5966E-02,0.0000E+00,4.0000E+00,2.3621E-02,7.5025E-03,-2.3149E-03,-4.5053E-03
1,3.0000E+01,4.5000E+01,-3.9745E-02,-5.2019E-02,1.6952E-02,4.8762E-02,0.0000E+00,4.0000E+00,2.4008E-02,5.9057E-03,2.4816E-04,-4.9890E-03
2,3.0000E+01,6.0000E+01,-4.0526E-02,3.6366E-02,1.6401E-02,2.7489E-02,0.0000E+00,4.0000E+00,2.3067E-02,1.5688E-03,-1.4529E-04,-3.2592E-03
3,3.0000E+01,7.5000E+01,-1.9211E-02,-1.2395E-01,1.7697E-02,1.7884E-02,0.0000E+00,4.0000E+00,2.7842E-02,2.4322E-04,-3.1559E-03,-9.6991E-04
4,3.0000E+01,9.0000E+01,3.1368E-03,-2.0117E-01,1.6204E-02,1.6010E-02,0.0000E+00,4.0000E+00,2.5229E-02,1.5557E-03,9.1438E-05,7.5994E-04
5,3.0000E+01,1.0500E+02,-8.7744E-02,-1.0700E-01,1.4847E-02,1.2772E-02,0.0000E+00,4.0000E+00,2.1743E-02,3.2452E-03,3.3687E-03,6.1261E-04
6,3.0000E+01,1.2000E+02,-5.2961E-02,-5.6359E-02,1.5191E-02,9.5918E-03,0.0000E+00,4.0000E+00,2.1444E-02,6.2676E-03,6.8905E-05,1.6965E-03
7,3.0000E+01,1.3500E+02,-7.6331E-03,-1.2746E-01,1.6845E-02,7.2641E-03,0.0000E+00,4.0000E+00,2.6399E-02,8.1431E-03,-3.4202E-03,7.1854E-04
8,3.0000E+01,1.5000E+02,-5.7036E-02,-1.4211E-01,1.7901E-02,6.5455E-03,0.0000E+00,4.0000E+00,2.6901E-02,6.9262E-03,-3.4596E-03,-1.3777E-03
9,3.0000E+01,1.6500E+02,-5.5643E-02,-2.2319E-01,1.6832E-02,7.8153E-03,0.0000E+00,4.0000E+00,2.4917E-02,5.0488E-03,-8.8647E-04,-6.5661E-04
10,3.0000E+01,1.8000E+02,-4.7856E-02,-2.2296E-01,1.6631E-02,7.0401E-03,0.0000E+00,4.0000E+00,2.4400E-02,9.6326E-04,4.5604E-03,5.0966E-04
11,3.0000E+01,1.9500E+02,-5.6937E-02,-6.3251E-02,1.7595E-02,6.5119E-03,0.0000E+00,4.0000E+00,2.4680E-02,-1.2016E-03,6.0161E-03,8.8568E-05
12,3.0000E+01,2.1000E+02,-2.5290E-02,-1.5710E-02,1.8664E-02,6.4820E-03,0.0000E+00,4.0000E+00,2.5685E-02,-1.3317E-03,3.5276E-03,4.6295E-04
13,3.0000E+01,2.2500E+02,-2.6276E-02,3.2459E-02,1.6813E-02,4.9952E-03,0.0000E+00,4.0000E+00,2.3586E-02,-7.0187E-04,-3.6398E-03,4.9743E-04
14,3.0000E+01,2.4000E+02,-4.3624E-02,-1.1270E-01,1.3698E-02,5.0514E-03,0.0000E+00,4.0000E+00,2.1449E-02,1.2011E-03,-6.1615E-03,-1.3077E-03
15,3.0000E+01,2.5500E+02,-7.0541E-02,-1.4452E-01,1.3971E-02,5.8144E-03,0.0000E+00,4.0000E+00,2.0994E-02,5.5570E-04,-3.7371E-03,-1.4439E-03
16,3.0000E+01,2.7000E+02,-4.6533E-02,-2.0056E-01,1.6240E-02,5.5594E-03,0.0000E+00,4.0000E+00,2.4390E-02,-4.2450E-04,-1.7978E-03,1.6125E-06
17,3.0000E+01,2.8500E+02,2.0713E-02,-1.9269E-01,1.5289E-02,5.8742E-03,0.0000E+00,4.0000E+00,2.1953E-02,-1.2067E-03,2.7433E-03,4.1762E-04
18,3.0000E+01,3.0000E+02,8.7233E-02,-1.2419E-01,1.4500E-02,6.2637E-03,0.0000E+00,4.0000E+00,2.0538E-02,-1.4002E-03,-3.4082E-03,-2.0005E-03
19,3.0000E+01,3.1500E+02,6.0534E-03,-2.7640E-01,1.5599E-02,5.5090E-03,0.0000E+00,4.0000E+00,2.2752E-02,-1.3000E-03,-4.0606E-03,-4.1445E-03
20,3.0000E+01,3.3000E+02,-7.7465E-02,-2.6417E-01,1.5210E-02,4.7607E-03,0.0000E+00,4.0000E+00,2.2966E-02,-7.1826E-04,3.2817E-03,-1.8232E-03
21,3.0000E+01,3.4500E+02,-6.3978E-02,-2.2278E-01,1.6481E-02,5.5918E-03,0.0000E+00,4.0000E+00,2.5352E-02,-1.0291E-04,4.9194E-03,1.6855E-03
22,3.0000E+01,3.6000E+02,-4.1797E-02,-1.6528E-01,1.6425E-02,7.3599E-03,0.0000E+00,4.0000E+00,2.4273E-02,7.4164E-04,4.1304E-03,1.9163E-03
23,3.0000E+01,3.7500E+02,-2.7308E-02,-8.9585E-02,9.7979E-03,6.3290E-03,0.0000E+00,4.0000E+00,1.3192E-02,4.2270E-03,2.6408E-03,-1.2687E-03
24,3.0000E+01,3.9000E+02,-1.8788E-01,-5.2058E-03,1.0165E-02,8.3689E-03,0.0000E+00,4.0000E+00,1.4859E-02,6.6884E-03,2.8910E-03,-2.3232E-03
25,3.0000E+01,4.0500E+02,-1.8807E-01,-2.7334E-02,1.2521E-02,4.9582E-02,0.0000E+00,4.0000E+00,1.8369E-02,8.8186E-04,-2.9585E-03,1.5251E-03
26,3.0000E+01,4.2000E+02,1.7025E-01,-9.8571E-02,1.4980E-02,1.2181E-01,0.0000E+00,4.0000E+00,2.2140E-02,-4.2645E-03,-3.3975E-03,1.7559E-03
27,3.0000E+01,4.3500E+02,3.4052E-02,-1.0683E-01,1.6225E-02,2.0739E-01,0.0000E+00,4.0000E+00,2.2239E-02,-5.0652E-03,-3.1920E-03,-1.6476E-03
28,3.0000E+01,4.5000E+02,-1.4260E-01,-3.0894E-01,1.6369E-02,1.4838E-01,0.0000E+00,4.0000E+00,2.2901E-02,1.1382E-03,-3.6722E-03,-1.3839E-03
29,3.0000E+01,4.6500E+02,-2.8443E-01,-2.7186E-01,1.6274E-02,1.2889E-01,0.0000E+00,4.0000E+00,2.3251E-02,4.6073E-03,9.5680E-04,1.2986E-03
30,3.0000E+01,4.8000E+02,-2.3491E-01,-2.0186E-01,1.6210E-02,1.3416E-01,0.0000E+00,4.0000E+00,2.3306E-02,2.7940E-08,2.7574E-03,6.3814E-03
31,3.0000E+01,4.9500E+02,5.5907E-02,-1.7827E-01,1.5042E-02,1.1131E-01,0.0000E+00,4.0000E+00,2.1316E-02,-4.8008E-03,2.6329E-03,1.4262E-03
32,3.0000E+01,5.1000E+02,2.4973E-02,-4.7564E-02,1.5634E-02,8.8157E-02,0.0000E+00,4.0000E+00,2.2298E-02,-9.4707E-03,-1.4619E-03,-2.3184E-03
33,3.0000E+01,5.2500E+02,4.1687E-02,-1.2562E-01,1.6505E-02,1.0956E-01,0.0000E+00,4.0000E+00,2.3018E-02,-7.2038E-03,-5.0869E-05,-3.3342E-03
34,3.0000E+01,5.4000E+02,-6.8371E-02,-1.2101E-01,1.4950E-02,1.0123E-01,0.0000E+00,4.0000E+00,2.1238E-02,-4.4227E-03,6.2774E-03,-2.3753E-03
35,3.0000E+01,5.5500E+02,-7.8613E-02,-2.6124E-03,1.4769E-02,1.0062E-01,0.0000E+00,4.0000E+00,2.0632E-02,-4.2897E-03,2.9836E-04,2.9079E-04
