SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,-2.0570E-01,-5.8573E-02,1.6522E-02,1.1464E-01,0.0000E+00,4.0000E+00,2.2530E-02,1.3961E-02,2.5929E-03,7.0829E-04
1,3.0000E+01,4.5000E+01,-2.8195E-02,4.2474E-02,1.6236E-02,6.1169E-02,0.0000E+00,4.0000E+00,2.3997E-02,7.9640E-03,1.5263E-03,-2.0193E-03
2,3.0000E+01,6.0000E+01,2.0377E-02,7.9728E-02,1.5045E-02,3.2223E-02,0.0000E+00,4.0000E+00,2.3203E-02,2.0923E-04,-2.5515E-03,-3.0361E-03
3,3.0000E+01,7.5000E+01,-1.3087E-02,-1.0209E-01,1.4225E-02,2.0884E-02,0.0000E+00,4.0000E+00,2.2414E-02,1.6025E-03,-3.6725E-03,7.2354E-04
4,3.0000E+01,9.0000E+01,-3.4546E-02,-1.6523E-01,1.2945E-02,1.6551E-02,0.0000E+00,4.0000E+00,2.0294E-02,8.1842E-03,-3.5340E-05,2.7983E-03
5,3.0000E+01,1.0500E+02,-1.1112E-01,-1.1419E-01,1.3476E-02,1.3819E-02,0.0000E+00,4.0000E+00,1.9487E-02,1.2688E-02,7.6028E-04,2.3053E-05
6,3.0000E+01,1.2000E+02,-1.5243E-01,-7.9701E-02,1.3625E-02,9.7945E-03,0.0000E+00,4.0000E+00,1.8465E-02,1.1292E-02,-8.7697E-04,4.8343E-04
7,3.0000E+01,1.3500E+02,-2.4974E-02,-1.0011E-01,1.3868E-02,8.1362E-03,0.0000E+00,4.0000E+00,2.1443E-02,6.1291E-03,4.1329E-03,6.9431E-04
8,3.0000E+01,1.5000E+02,3.4812E-02,6.1074E-02,1.4690E-02,7.9845E-03,0.0000E+00,4.0000E+00,2.1615E-02,6.4531E-04,2.6357E-04,-3.2462E-03
9,3.0000E+01,1.6500E+02,1.9308E-02,-1.5262E-02,1.3291E-02,8.4197E-03,0.0000E+00,4.0000E+00,1.8456E-02,-5.1587E-05,-5.6071E-03,-4.7639E-03
10,3.0000E+01,1.8000E+02,-6.5598E-02,-8.5119E-02,1.2822E-02,7.8408E-03,0.0000E+00,4.0000E+00,1.8731E-02,3.6977E-04,2.3758E-03,-4.3410E-03
11,3.0000E+01,1.9500E+02,-6.7613E-02,-3.6321E-03,1.4045E-02,7.6021E-03,0.0000E+00,4.0000E+00,1.9176E-02,5.5983E-03,-6.6199E-05,-1.8037E-03
12,3.0000E+01,2.1000E+02,-8.1932E-02,-9.7138E-02,1.5208E-02,7.3945E-03,0.0000E+00,4.0000E+00,2.1675E-02,4.4887E-03,-1.0944E-03,-2.2785E-03
13,3.0000E+01,2.2500E+02,-1.2843E-01,-7.8898E-02,1.5768E-02,5.4434E-03,0.0000E+00,4.0000E+00,2.1999E-02,3.6311E-03,2.7616E-04,-2.6028E-04
14,3.0000E+01,2.4000E+02,-7.1553E-02,-1.9968E-01,1.3940E-02,5.3471E-03,0.0000E+00,4.0000E+00,2.1903E-02,-1.1029E-03,-2.2118E-03,4.4303E-03
15,3.0000E+01,2.5500E+02,-5.4635E-02,-2.0572E-01,1.3662E-02,7.2987E-03,0.0000E+00,4.0000E+00,2.1038E-02,-2.4774E-03,1.4171E-03,3.6318E-03
16,3.0000E+01,2.7000E+02,-1.9474E-02,-7.4614E-02,1.3800E-02,7.8306E-03,0.0000E+00,4.0000E+00,2.0688E-02,-3.1836E-03,1.7967E-03,1.7513E-03
17,3.0000E+01,2.8500E+02,1.9158E-02,-3.6342E-02,1.2124E-02,7.0888E-03,0.0000E+00,4.0000E+00,1.7645E-02,-3.0657E-03,-2.5646E-03,-9.9472E-04
