SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-2.2921E-01,7.2549E-02,1.0074E-02,6.4009E-02,0.0000E+00,4.0000E+00,1.4523E-02,1.7773E-03,2.3212E-03,-2.9561E-03
1,8.4000E+02,7.6500E+02,-3.1761E-01,7.0621E-02,1.3246E-02,8.7177E-02,0.0000E+00,4.0000E+00,2.0011E-02,2.2650E-03,1.0224E-03,-1.5925E-03
2,8.4000E+02,7.8000E+02,-2.5723E-01,5.3614E-02,1.2000E-02,1.0462E-01,0.0000E+00,4.0000E+00,1.7804E-02,1.2956E-03,-7.5299E-04,1.6066E-03
3,8.4000E+02,7.9500E+02,-2.0048E-01,2.6913E-02,9.8585E-03,5.5503E-02,0.0000E+00,4.0000E+00,1.4394E-02,1.5294E-03,7.4605E-05,-1.2967E-03
4,8.4000E+02,8.1000E+02,-3.2804E-01,1.1808E-01,1.0163E-02,5.2942E-02,0.0000E+00,4.0000E+00,1.4332E-02,3.7030E-03,5.7602E-03,-3.3150E-03
5,8.4000E+02,8.2500E+02,-3.4641E-01,2.2780E-01,1.0064E-02,1.1277E-01,0.0000E+00,4.0000E+00,1.4461E-02,4.5393E-03,4.7666E-03,-1.2045E-03
6,8.4000E+02,8.4000E+02,-2.9186E-01,2.2473E-01,9.5078E-03,4.9245E-02,0.0000E+00,4.0000E+00,1.4061E-02,3.0290E-03,-1.9586E-03,7.8832E-04
7,8.4000E+02,8.5500E+02,-1.7112E-01,1.5580E-01,1.0708E-02,3.8341E-02,0.0000E+00,4.0000E+00,1.5303E-02,1.3967E-03,-2.1078E-03,-9.5390E-05
8,8.4000E+02,8.7000E+02,-2.2686E-01,1.7751E-01,1.2186E-02,7.7787E-02,0.0000E+00,4.0000E+00,1.7098E-02,8.1659E-04,1.4954E-03,-2.5945E-03
9,8.4000E+02,8.8500E+02,-3.0185E-01,1.7600E-01,1.2096E-02,1.6256E-01,0.0000E+00,4.0000E+00,1.7207E-02,1.0636E-04,3.4422E-03,3.4114E-04
10,8.4000E+02,9.0000E+02,-1.7768E-01,2.3671E-01,1.1901E-02,1.2886E-01,0.0000E+00,4.0000E+00,1.6807E-02,1.1824E-03,5.3614E-03,2.0806E-03
11,8.4000E+02,9.1500E+02,-2.0970E-01,3.6889E-01,1.2935E-02,7.4887E-02,0.0000E+00,4.0000E+00,1.8127E-02,1.0468E-03,5.7389E-03,8.4406E-04
12,8.5500E+02,9.1500E+02,-1.3280E-01,3.1865E-01,1.0772E-02,5.5005E-02,0.0000E+00,4.0000E+00,1.5149E-02,1.7801E-03,3.5910E-03,4.5970E-04
13,8.5500E+02,9.0000E+02,-2.2319E-01,2.7921E-01,1.0597E-02,1.3336E-01,0.0000E+00,4.0000E+00,1.4954E-02,1.8109E-03,4.0899E-03,1.5364E-03
14,8.5500E+02,8.8500E+02,-2.8006E-01,1.9119E-01,1.1243E-02,1.6802E-01,0.0000E+00,4.0000E+00,1.6224E-02,1.0570E-03,3.7933E-03,-1.0772E-05
15,8.5500E+02,8.7000E+02,-1.9835E-01,1.3224E-01,1.0507E-02,8.5941E-02,0.0000E+00,4.0000E+00,1.4906E-02,9.2407E-04,1.6068E-03,-1.9886E-03
16,8.5500E+02,8.5500E+02,-1.8473E-01,1.2216E-01,8.8153E-03,8.7761E-02,0.0000E+00,4.0000E+00,1.2737E-02,1.2250E-04,-2.8957E-03,9.4309E-04
17,8.5500E+02,8.4000E+02,-2.4405E-01,2.1172E-01,8.5128E-03,6.6834E-02,0.0000E+00,4.0000E+00,1.2454E-02,4.4962E-04,-1.5075E-03,1.4584E-03
18,8.5500E+02,8.2500E+02,-2.4464E-01,1.6825E-01,1.0862E-02,1.2981E-01,0.0000E+00,4.0000E+00,1.5561E-02,1.5649E-03,5.3057E-03,-6.3328E-04
19,8.5500E+02,8.1000E+02,-2.7410E-01,3.3090E-02,1.2104E-02,6.0203E-02,0.0000E+00,4.0000E+00,1.7617E-02,8.8145E-04,5.3420E-03,-1.9089E-03
20,8.5500E+02,7.9500E+02,-1.9011E-01,2.4847E-02,1.3057E-02,4.4375E-02,0.0000E+00,4.0000E+00,2.0136E-02,-1.9284E-04,-5.4185E-05,-5.5990E-04
21,8.5500E+02,7.8000E+02,-2.5281E-01,9.3153E-02,1.0774E-02,9.7888E-02,0.0000E+00,4.0000E+00,1.5843E-02,-1.1798E-03,1.3959E-04,7.6346E-04
22,8.5500E+02,7.6500E+02,-2.7414E-01,2.6672E-02,1.1648E-02,7.9769E-02,0.0000E+00,4.0000E+00,1.7600E-02,1.1243E-04,1.9104E-03,-2.3013E-03
23,8.5500E+02,7.5000E+02,-1.7534E-01,1.2998E-02,9.5815E-03,9.7825E-02,0.0000E+00,4.0000E+00,1.4125E-02,3.0445E-04,2.1419E-03,-3.1557E-03
24,8.5500E+02,7.3500E+02,-2.5055E-01,-6.1176E-02,7.3044E-03,1.3372E-01,0.0000E+00,4.0000E+00,1.0377E-02,1.4759E-03,9.9564E-04,-2.1974E-05
25,8.5500E+02,7.2000E+02,-2.9291E-01,-4.4290E-02,7.9067E-03,8.6999E-02,0.0000E+00,4.0000E+00,1.1564E-02,4.2189E-03,-3.8447E-03,-9.1654E-04
26,8.5500E+02,7.0500E+02,-2.7070E-01,5.1960E-02,9.3654E-03,6.7633E-02,0.0000E+00,4.0000E+00,1.3583E-02,3.6378E-03,-1.7894E-03,-4.7768E-04
27,8.5500E+02,6.9000E+02,-2.3318E-01,4.7588E-03,1.2224E-02,7.7580E-02,0.0000E+00,4.0000E+00,1.8061E-02,4.0632E-03,1.4411E-03,4.5821E-04
28,8.5500E+02,6.7500E+02,-2.5837E-01,1.1304E-03,1.3142E-02,6.3549E-02,0.0000E+00,4.0000E+00,1.9502E-02,1.7993E-03,3.9293E-03,-4.6438E-04
29,8.5500E+02,6.6000E+02,-2.0042E-01,-1.0015E-01,1.2223E-02,1.1847E-01,0.0000E+00,4.0000E+00,1.7535E-02,1.0051E-03,2.2256E-03,-1.2024E-04
30,8.5500E+02,6.4500E+02,-2.2996E-01,-5.9748E-02,9.9698E-03,1.0869E-01,0.0000E+00,4.0000E+00,1.4641E-02,-1.5002E-04,-1.5887E-04,1.0598E-03
31,8.5500E+02,6.3000E+02,-2.8285E-01,-7.1562E-02,8.7587E-03,9.3374E-02,0.0000E+00,4.0000E+00,1.2259E-02,6.3488E-04,2.7577E-04,4.0787E-04
32,8.5500E+02,6.1500E+02,-3.2188E-01,-9.7542E-02,1.0189E-02,7.5630E-02,0.0000E+00,4.0000E+00,1.4325E-02,1.2974E-03,-7.5546E-04,-1.6807E-04
