SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-2.7009E-02,-1.7038E-01,1.4719E-02,6.2445E-02,0.0000E+00,4.0000E+00,2.0512E-02,6.5019E-03,-2.4557E-04,-5.7559E-04
1,8.4000E+02,7.6500E+02,-6.6551E-02,-1.5432E-01,1.7053E-02,9.4208E-02,0.0000E+00,4.0000E+00,2.3007E-02,7.5003E-03,-1.7779E-03,-1.0239E-03
2,8.4000E+02,7.8000E+02,-2.8716E-02,-2.1636E-01,1.5085E-02,1.0606E-01,0.0000E+00,4.0000E+00,2.0350E-02,6.9435E-03,-8.6910E-04,-7.0078E-04
3,8.4000E+02,7.9500E+02,7.6633E-03,-2.2372E-01,1.3406E-02,5.3370E-02,0.0000E+00,4.0000E+00,1.8300E-02,3.8628E-03,1.6413E-04,-3.2713E-03
4,8.4000E+02,8.1000E+02,-9.6500E-02,-1.8515E-01,1.2650E-02,5.3901E-02,0.0000E+00,4.0000E+00,1.8080E-02,2.6206E-03,3.7521E-04,-2.5909E-03
5,8.4000E+02,8.2500E+02,-5.6512E-02,-1.6917E-01,1.2396E-02,1.0128E-01,0.0000E+00,4.0000E+00,1.7403E-02,2.6676E-03,1.2014E-03,-1.3820E-03
6,8.4000E+02,8.4000E+02,-4.1454E-02,-1.5619E-01,1.1665E-02,4.2820E-02,0.0000E+00,4.0000E+00,1.5918E-02,2.0616E-03,-6.4675E-04,-2.6432E-03
7,8.4000E+02,8.5500E+02,-4.1019E-02,-2.0057E-01,1.2534E-02,3.6966E-02,0.0000E+00,4.0000E+00,1.7232E-02,1.0329E-03,-8.3070E-05,-2.8368E-03
8,8.4000E+02,8.7000E+02,-8.3385E-02,-1.7180E-01,1.4314E-02,8.4621E-02,0.0000E+00,4.0000E+00,2.0116E-02,2.5518E-03,2.0050E-03,-9.2077E-04
9,8.4000E+02,8.8500E+02,-1.2567E-01,-1.8770E-01,1.5643E-02,1.6141E-01,0.0000E+00,4.0000E+00,2.2059E-02,4.6866E-03,-1.0718E-03,8.2168E-04
10,8.4000E+02,9.0000E+02,-6.5843E-02,-2.3028E-01,1.5141E-02,1.3167E-01,0.0000E+00,4.0000E+00,2.1945E-02,5.9723E-03,-1.1074E-03,1.3323E-03
11,8.4000E+02,9.1500E+02,-3.1870E-02,-1.7932E-01,1.2853E-02,7.7977E-02,0.0000E+00,4.0000E+00,1.8703E-02,5.1164E-03,1.8494E-03,5.1819E-04
12,8.5500E+02,9.1500E+02,4.3407E-02,-2.1990E-01,1.3701E-02,4.8697E-02,0.0000E+00,4.0000E+00,1.9230E-02,4.4307E-03,1.2810E-03,7.2005E-04
13,8.5500E+02,9.0000E+02,1.1962E-02,-2.2430E-01,1.6814E-02,1.3637E-01,0.0000E+00,4.0000E+00,2.3557E-02,4.6899E-03,-9.4516E-04,9.7029E-04
14,8.5500E+02,8.8500E+02,-1.0799E-02,-1.4486E-01,1.6313E-02,1.5448E-01,0.0000E+00,4.0000E+00,2.2488E-02,3.7533E-03,-3.3910E-04,7.3015E-04
