SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-5.1068E-01,3.9133E-01,1.5781E-02,5.7419E-02,0.0000E+00,4.0000E+00,2.2762E-02,3.0661E-03,-1.2820E-04,-3.4745E-03
1,8.4000E+02,7.6500E+02,-6.2912E-01,4.2502E-01,1.8881E-02,8.9736E-02,0.0000E+00,4.0000E+00,2.7546E-02,3.4648E-03,-1.4867E-03,-2.3667E-03
2,8.4000E+02,7.8000E+02,-5.4795E-01,3.1665E-01,1.5769E-02,1.1038E-01,0.0000E+00,4.0000E+00,2.2750E-02,4.5742E-03,-1.1708E-03,2.1320E-03
3,8.4000E+02,7.9500E+02,-5.0611E-01,3.0508E-01,1.3374E-02,5.6145E-02,0.0000E+00,4.0000E+00,1.9000E-02,2.7837E-03,7.3752E-04,-1.7953E-04
4,8.4000E+02,8.1000E+02,-5.8802E-01,3.5436E-01,1.2551E-02,5.2689E-02,0.0000E+00,4.0000E+00,1.7510E-02,3.3250E-03,-1.3674E-03,-1.0304E-03
5,8.4000E+02,8.2500E+02,-5.5495E-01,3.2284E-01,1.3782E-02,1.1213E-01,0.0000E+00,4.0000E+00,1.9773E-02,7.9581E-04,-1.7665E-03,-6.4176E-04
6,8.4000E+02,8.4000E+02,-5.4169E-01,3.1153E-01,1.4369E-02,4.9278E-02,0.0000E+00,4.0000E+00,2.1274E-02,-6.8370E-04,-1.0918E-03,-1.1373E-03
7,8.4000E+02,8.5500E+02,-4.9585E-01,2.8414E-01,1.5103E-02,4.4819E-02,0.0000E+00,4.0000E+00,2.1822E-02,-3.6104E-03,-2.2840E-04,5.9509E-05
8,8.4000E+02,8.7000E+02,-4.5760E-01,2.7976E-01,1.5151E-02,8.3755E-02,0.0000E+00,4.0000E+00,2.1422E-02,-2.7549E-03,8.7729E-04,1.1298E-03
9,8.4000E+02,8.8500E+02,-4.9136E-01,2.7061E-01,1.3383E-02,1.4206E-01,0.0000E+00,4.0000E+00,1.9060E-02,9.8914E-04,-1.4725E-03,1.3884E-03
10,8.4000E+02,9.0000E+02,-5.0812E-01,2.3628E-01,1.4408E-02,1.2162E-01,0.0000E+00,4.0000E+00,1.9957E-02,6.0894E-03,-1.0007E-03,1.0231E-03
11,8.4000E+02,9.1500E+02,-5.1112E-01,2.8119E-01,1.6318E-02,7.7091E-02,0.0000E+00,4.0000E+00,2.2397E-02,8.4164E-03,2.0978E-03,1.0667E-04
12,8.5500E+02,9.1500E+02,-3.6643E-01,2.5483E-01,1.3000E-02,4.8308E-02,0.0000E+00,4.0000E+00,1.8447E-02,4.0156E-03,1.8244E-03,4.0529E-04
13,8.5500E+02,9.0000E+02,-4.0138E-01,2.3689E-01,1.3767E-02,1.2278E-01,0.0000E+00,4.0000E+00,1.9559E-02,2.3996E-03,-8.1562E-04,7.6637E-04
14,8.5500E+02,8.8500E+02,-4.6960E-01,3.2554E-01,1.3601E-02,1.4410E-01,0.0000E+00,4.0000E+00,1.9621E-02,-5.2803E-04,-1.5944E-03,9.5416E-04
15,8.5500E+02,8.7000E+02,-5.4164E-01,2.8189E-01,1.3030E-02,8.5844E-02,0.0000E+00,4.0000E+00,1.8550E-02,-2.2439E-03,4.1507E-04,4.0600E-04
16,8.5500E+02,8.5500E+02,-5.5772E-01,2.5947E-01,1.4750E-02,8.9744E-02,0.0000E+00,4.0000E+00,2.1356E-02,-2.2938E-03,2.0877E-04,-7.1622E-05
17,8.5500E+02,8.4000E+02,-5.5859E-01,2.6391E-01,1.5606E-02,7.5196E-02,0.0000E+00,4.0000E+00,2.2913E-02,-7.4380E-04,-7.5627E-04,-1.0698E-03
18,8.5500E+02,8.2500E+02,-5.0709E-01,2.8632E-01,1.4639E-02,1.2852E-01,0.0000E+00,4.0000E+00,2.0953E-02,3.9834E-04,-2.3970E-03,-5.4112E-04
19,8.5500E+02,8.1000E+02,-5.8332E-01,3.2721E-01,1.3872E-02,5.6107E-02,0.0000E+00,4.0000E+00,1.9610E-02,4.4463E-04,-2.4762E-03,-6.4631E-04
20,8.5500E+02,7.9500E+02,-4.0930E-01,3.8636E-01,1.7117E-02,5.7791E-02,0.0000E+00,4.0000E+00,2.3947E-02,3.6236E-04,6.2051E-04,-1.2526E-04
21,8.5500E+02,7.8000E+02,-5.2441E-01,3.2076E-01,1.4560E-02,1.3139E-01,0.0000E+00,4.0000E+00,2.0922E-02,1.1326E-03,8.5939E-04,1.0721E-03
22,8.5500E+02,7.6500E+02,-5.4410E-01,3.3727E-01,1.6076E-02,8.2506E-02,0.0000E+00,4.0000E+00,2.3127E-02,1.7943E-03,-2.6910E-04,-2.3727E-03
23,8.5500E+02,7.5000E+02,-4.6380E-01,3.3543E-01,1.4297E-02,7.9264E-02,0.0000E+00,4.0000E+00,2.0675E-02,1.7120E-03,-4.4531E-04,-3.3915E-03
24,8.5500E+02,7.3500E+02,-5.0614E-01,3.5904E-01,1.3763E-02,1.1125E-01,0.0000E+00,4.0000E+00,1.9127E-02,1.2138E-03,-9.0196E-04,-7.8472E-04
25,8.5500E+02,7.2000E+02,-5.7668E-01,3.6351E-01,1.4718E-02,7.6182E-02,0.0000E+00,4.0000E+00,2.0755E-02,1.4705E-03,-1.2413E-03,-2.0583E-04
26,8.5500E+02,7.0500E+02,-6.4052E-01,3.7367E-01,1.4378E-02,5.9643E-02,0.0000E+00,4.0000E+00,2.0363E-02,7.4006E-04,-1.2028E-03,6.2997E-05
27,8.5500E+02,6.9000E+02,-6.0166E-01,3.3904E-01,1.6998E-02,7.5932E-02,0.0000E+00,4.0000E+00,2.3964E-02,2.7161E-03,-2.0154E-03,-9.7474E-04
28,8.5500E+02,6.7500E+02,-6.4142E-01,4.3452E-01,1.6080E-02,7.7797E-02,0.0000E+00,4.0000E+00,2.2663E-02,2.8398E-03,-7.2570E-04,-1.4431E-03
29,8.5500E+02,6.6000E+02,-5.2413E-01,3.6514E-01,1.4593E-02,1.2057E-01,0.0000E+00,4.0000E+00,2.1037E-02,3.0499E-03,-1.6223E-04,5.3706E-05
30,8.5500E+02,6.4500E+02,-5.7744E-01,4.1976E-01,1.3720E-02,1.1488E-01,0.0000E+00,4.0000E+00,1.9386E-02,5.4763E-04,-1.6718E-03,2.6039E-03
31,8.5500E+02,6.3000E+02,-6.3775E-01,4.3379E-01,1.2921E-02,9.1304E-02,0.0000E+00,4.0000E+00,1.8105E-02,7.6167E-04,-2.2860E-03,8.7301E-04
32,8.5500E+02,6.1500E+02,-6.3885E-01,4.7043E-01,1.2868E-02,7.0618E-02,0.0000E+00,4.0000E+00,1.7815E-02,1.5584E-03,-1.1312E-03,-2.1792E-04
33,8.5500E+02,6.0000E+02,-5.9299E-01,4.5557E-01,1.2910E-02,8.0317E-02,0.0000E+00,4.0000E+00,1.7392E-02,8.5236E-04,1.4652E-03,5.8958E-04
34,8.5500E+02,5.8500E+02,-5.8602E-01,4.4057E-01,1.4313E-02,1.2230E-01,0.0000E+00,4.0000E+00,1.9336E-02,-3.8977E-04,3.9488E-04,1.6265E-03
35,8.5500E+02,5.7000E+02,-6.4711E-01,4.4653E-01,1.4900E-02,1.7259E-01,0.0000E+00,4.0000E+00,2.0571E-02,-1.1463E-03,-5.6952E-03,1.4361E-03
36,8.5500E+02,5.5500E+02,-6.6284E-01,6.1938E-01,1.2163E-02,1.3254E-01,0.0000E+00,4.0000E+00,1.7178E-02,-1.6773E-03,-4.4200E-03,2.5556E-04
37,8.5500E+02,5.4000E+02,-6.2395E-01,5.8335E-01,1.4222E-02,6.9752E-02,0.0000E+00,4.0000E+00,1.9759E-02,-2.6218E-03,4.1449E-03,-7.8257E-04
38,8.5500E+02,5.2500E+02,-5.9318E-01,4.8995E-01,1.6335E-02,8.4781E-02,0.0000E+00,4.0000E+00,2.2579E-02,-2.7879E-03,3.6891E-03,-7.9216E-04
39,8.5500E+02,5.1000E+02,-6.2875E-01,5.1345E-01,1.3379E-02,9.3344E-02,0.0000E+00,4.0000E+00,1.8601E-02,-1.0877E-03,-7.8243E-04,-1.9793E-03
40,8.5500E+02,4.9500E+02,-6.3471E-01,5.7800E-01,1.4275E-02,9.1344E-02,0.0000E+00,4.0000E+00,1.9685E-02,-1.0198E-04,-7.9288E-04,-1.6338E-03
41,8.5500E+02,4.8000E+02,-6.5698E-01,4.9005E-01,1.5943E-02,1.0540E-01,0.0000E+00,4.0000E+00,2.2055E-02,-1.6304E-03,-5.7710E-04,1.4838E-03
42,8.5500E+02,4.6500E+02,-6.7550E-01,4.9144E-01,1.8260E-02,1.3259E-01,0.0000E+00,4.0000E+00,2.5811E-02,-2.4724E-03,-3.0553E-03,2.9665E-03
43,8.7000E+02,1.8000E+02,-7.0427E-01,6.2800E-01,1.3502E-02,7.7929E-02,0.0000E+00,4.0000E+00,1.8221E-02,-1.8163E-03,-2.5908E-03,1.7241E-03
44,8.7000E+02,1.9500E+02,-6.8046E-01,5.8374E-01,1.3466E-02,6.4371E-02,0.0000E+00,4.0000E+00,1.8673E-02,-9.1219E-04,-2.3470E-03,8.7300E-04
45,8.7000E+02,2.1000E+02,-7.7349E-01,5.6641E-01,1.4179E-02,9.3543E-02,0.0000E+00,4.0000E+00,2.0437E-02,-6.7403E-04,-1.7185E-03,9.3490E-04
46,8.7000E+02,2.2500E+02,-7.3149E-01,5.4089E-01,1.4447E-02,1.1003E-01,0.0000E+00,4.0000E+00,2.0580E-02,-2.7164E-03,3.2046E-03,2.4645E-03
47,8.7000E+02,2.4000E+02,-6.3126E-01,6.4397E-01,1.3871E-02,8.1673E-02,0.0000E+00,4.0000E+00,1.9626E-02,-5.3511E-03,7.7663E-03,1.9492E-03
48,8.7000E+02,2.5500E+02,-6.6105E-01,8.0040E-01,1.1771E-02,3.0575E-02,0.0000E+00,4.0000E+00,1.5983E-02,-7.2837E-03,9.9740E-04,1.4286E-04
49,8.7000E+02,2.7000E+02,-6.7389E-01,6.9965E-01,1.2303E-02,2.2559E-02,0.0000E+00,4.0000E+00,1.5910E-02,-6.3699E-03,-5.4772E-03,-2.3775E-04
50,8.7000E+02,2.8500E+02,-6.6058E-01,6.4905E-01,1.3044E-02,3.5082E-02,0.0000E+00,4.0000E+00,1.6924E-02,-6.0794E-03,-1.8570E-03,-2.2644E-04
51,8.7000E+02,3.0000E+02,-6.7978E-01,6.5662E-01,1.3268E-02,2.6340E-02,0.0000E+00,4.0000E+00,1.8345E-02,-5.3400E-03,9.6343E-04,-1.3661E-03
52,8.7000E+02,3.1500E+02,-6.7108E-01,6.9995E-01,1.4038E-02,9.0036E-02,0.0000E+00,4.0000E+00,1.9834E-02,-4.1430E-03,-3.0294E-03,8.8312E-04
53,8.7000E+02,3.3000E+02,-6.4023E-01,5.1346E-01,1.5996E-02,1.5491E-01,0.0000E+00,4.0000E+00,2.2112E-02,-2.7686E-03,-3.4003E-03,1.5579E-03
54,8.7000E+02,3.4500E+02,-5.9890E-01,5.7976E-01,1.7074E-02,8.8728E-02,0.0000E+00,4.0000E+00,2.3701E-02,-1.8845E-03,2.2578E-03,2.0802E-03
55,8.7000E+02,3.6000E+02,-5.1211E-01,6.4821E-01,1.6225E-02,7.4723E-02,0.0000E+00,4.0000E+00,2.2087E-02,-2.2108E-03,8.3010E-04,-2.5951E-03
56,8.7000E+02,3.7500E+02,-6.7044E-01,5.9341E-01,1.4124E-02,4.4792E-02,0.0000E+00,4.0000E+00,1.9494E-02,-3.2048E-03,-2.2640E-03,-4.0192E-03
57,8.7000E+02,3.9000E+02,-7.0780E-01,5.5108E-01,1.4411E-02,6.4543E-02,0.0000E+00,4.0000E+00,2.0142E-02,-2.4910E-03,-1.7597E-03,-1.2340E-04
58,8.7000E+02,4.0500E+02,-7.1534E-01,5.2015E-01,1.5889E-02,8.6449E-02,0.0000E+00,4.0000E+00,2.2550E-02,-2.5475E-03,2.2595E-04,1.3369E-03
59,8.7000E+02,4.2000E+02,-6.5340E-01,5.5919E-01,1.5914E-02,8.5352E-02,0.0000E+00,4.0000E+00,2.2821E-02,-2.3025E-03,1.7887E-03,7.4819E-04
60,8.7000E+02,4.3500E+02,-6.6594E-01,5.9412E-01,1.4150E-02,8.3875E-02,0.0000E+00,4.0000E+00,1.9863E-02,-2.1523E-03,2.5825E-03,-6.4618E-04
61,8.7000E+02,4.5000E+02,-7.2848E-01,6.2614E-01,1.5196E-02,8.2290E-02,0.0000E+00,4.0000E+00,2.1597E-02,-2.4933E-03,1.1463E-03,1.3902E-03
62,8.7000E+02,4.6500E+02,-7.6900E-01,5.7717E-01,1.5935E-02,9.1417E-02,0.0000E+00,4.0000E+00,2.2684E-02,-7.0545E-04,-2.9773E-03,3.3685E-03
63,8.7000E+02,4.8000E+02,-6.5976E-01,5.1200E-01,1.6902E-02,7.9681E-02,0.0000E+00,4.0000E+00,2.4036E-02,-1.2391E-03,-3.3971E-03,2.2916E-03
64,8.7000E+02,4.9500E+02,-6.1186E-01,4.5565E-01,1.3560E-02,5.4120E-02,0.0000E+00,4.0000E+00,1.9576E-02,-1.1393E-03,-1.7164E-03,-9.6300E-04
65,8.7000E+02,5.1000E+02,-6.5375E-01,4.4100E-01,1.2274E-02,6.7867E-02,0.0000E+00,4.0000E+00,1.6940E-02,-2.1068E-03,4.3559E-04,-8.9483E-04
66,8.7000E+02,5.2500E+02,-6.4040E-01,4.9674E-01,1.4024E-02,6.5308E-02,0.0000E+00,4.0000E+00,1.9249E-02,-1.9853E-03,3.3666E-03,-2.6966E-04
67,8.7000E+02,5.4000E+02,-6.7740E-01,5.9204E-01,1.3077E-02,7.3369E-02,0.0000E+00,4.0000E+00,1.8672E-02,-9.2034E-04,2.6587E-03,-1.2966E-03
68,8.7000E+02,5.5500E+02,-6.8031E-01,6.1539E-01,1.1737E-02,9.0718E-02,0.0000E+00,4.0000E+00,1.6645E-02,1.9500E-04,-3.5994E-03,-5.0830E-04
69,8.7000E+02,5.7000E+02,-6.5175E-01,4.6307E-01,1.3864E-02,1.2121E-01,0.0000E+00,4.0000E+00,1.9181E-02,1.1174E-04,-3.7038E-03,8.4251E-04
70,8.7000E+02,5.8500E+02,-6.1554E-01,4.5133E-01,1.3060E-02,1.2718E-01,0.0000E+00,4.0000E+00,1.7898E-02,-8.8849E-05,4.9353E-04,1.6447E-03
71,8.7000E+02,6.0000E+02,-5.7641E-01,4.7758E-01,1.2285E-02,6.8749E-02,0.0000E+00,4.0000E+00,1.6625E-02,6.3492E-04,6.4231E-04,1.0132E-03
72,8.7000E+02,6.1500E+02,-5.8763E-01,5.0932E-01,1.1670E-02,4.8297E-02,0.0000E+00,4.0000E+00,1.5938E-02,1.3830E-03,-1.5430E-03,-3.8810E-04
73,8.7000E+02,6.3000E+02,-6.3552E-01,4.3136E-01,1.2790E-02,4.9103E-02,0.0000E+00,4.0000E+00,1.7553E-02,1.0604E-03,-2.1863E-03,-2.6081E-05
74,8.7000E+02,6.4500E+02,-5.9666E-01,4.2264E-01,1.2318E-02,1.1271E-01,0.0000E+00,4.0000E+00,1.7125E-02,-1.1522E-05,-2.0172E-03,1.8140E-03
