SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-5.7156E-02,-2.0733E-01,1.4858E-02,4.9808E-02,0.0000E+00,4.0000E+00,2.0659E-02,3.9750E-03,-2.0833E-03,-1.9869E-03
1,8.4000E+02,7.6500E+02,-1.0799E-01,-2.4090E-01,1.8145E-02,8.5379E-02,0.0000E+00,4.0000E+00,2.4509E-02,3.9176E-03,-9.2231E-04,-5.5404E-04
2,8.4000E+02,7.8000E+02,-4.8519E-02,-2.6789E-01,1.7237E-02,1.2139E-01,0.0000E+00,4.0000E+00,2.3303E-02,2.6992E-03,5.5301E-04,2.0771E-03
3,8.4000E+02,7.9500E+02,1.0928E-02,-3.0425E-01,1.3356E-02,5.7493E-02,0.0000E+00,4.0000E+00,1.8231E-02,-6.2173E-04,5.9276E-04,5.9432E-04
4,8.4000E+02,8.1000E+02,-5.8410E-02,-2.3808E-01,1.1886E-02,5.1268E-02,0.0000E+00,4.0000E+00,1.6753E-02,1.5426E-04,2.4167E-03,-2.2726E-04
5,8.4000E+02,8.2500E+02,-1.1447E-01,-1.8136E-01,1.2036E-02,9.7625E-02,0.0000E+00,4.0000E+00,1.6769E-02,4.7716E-04,1.4114E-03,5.2522E-04
6,8.4000E+02,8.4000E+02,-4.6119E-02,-1.7100E-01,1.1622E-02,4.5577E-02,0.0000E+00,4.0000E+00,1.5858E-02,-4.1528E-04,-1.6101E-03,5.1434E-04
7,8.4000E+02,8.5500E+02,3.9170E-02,-2.2631E-01,1.2902E-02,4.2439E-02,0.0000E+00,4.0000E+00,1.7824E-02,-2.8997E-03,-2.4970E-04,-9.9261E-04
8,8.4000E+02,8.7000E+02,-6.3602E-02,-2.0731E-01,1.3650E-02,8.5856E-02,0.0000E+00,4.0000E+00,1.9000E-02,-1.8479E-03,2.5306E-03,-1.4757E-04
9,8.4000E+02,8.8500E+02,-9.2209E-02,-1.8017E-01,1.2970E-02,1.5816E-01,0.0000E+00,4.0000E+00,1.8191E-02,1.5012E-03,9.3681E-04,2.4353E-03
10,8.4000E+02,9.0000E+02,-3.0547E-02,-1.8816E-01,1.3338E-02,1.3796E-01,0.0000E+00,4.0000E+00,1.9344E-02,1.7384E-03,-1.6151E-03,1.5252E-03
11,8.4000E+02,9.1500E+02,1.7645E-02,-1.7786E-01,1.3671E-02,8.0298E-02,0.0000E+00,4.0000E+00,1.9651E-02,6.5014E-04,-2.2805E-03,1.7446E-04
12,8.5500E+02,9.1500E+02,-8.5152E-03,-2.2949E-01,1.3496E-02,4.8831E-02,0.0000E+00,4.0000E+00,1.8927E-02,2.3796E-03,-3.9916E-03,1.0644E-05
13,8.5500E+02,9.0000E+02,1.5108E-02,-1.5068E-01,1.2475E-02,1.3644E-01,0.0000E+00,4.0000E+00,1.7479E-02,2.9624E-03,-1.7386E-03,8.5240E-04
14,8.5500E+02,8.8500E+02,-3.3558E-02,-1.3004E-01,1.2408E-02,1.5163E-01,0.0000E+00,4.0000E+00,1.7087E-02,2.6998E-03,1.8374E-03,1.6772E-03
15,8.5500E+02,8.7000E+02,-1.0053E-01,-1.8753E-01,1.1994E-02,8.6162E-02,0.0000E+00,4.0000E+00,1.6858E-02,7.1591E-04,2.3905E-03,-4.6920E-04
16,8.5500E+02,8.5500E+02,-6.5827E-02,-2.3546E-01,1.2024E-02,8.6891E-02,0.0000E+00,4.0000E+00,1.6646E-02,-5.0638E-04,-4.4388E-04,-1.0660E-03
17,8.5500E+02,8.4000E+02,-3.4880E-02,-2.0880E-01,1.1989E-02,6.5413E-02,0.0000E+00,4.0000E+00,1.6514E-02,5.1038E-04,-2.2783E-03,4.9172E-04
18,8.5500E+02,8.2500E+02,-3.9427E-02,-1.8359E-01,1.3205E-02,1.0577E-01,0.0000E+00,4.0000E+00,1.8574E-02,4.8838E-04,4.7635E-04,1.5073E-03
19,8.5500E+02,8.1000E+02,-1.2323E-01,-2.2626E-01,1.4548E-02,5.5765E-02,0.0000E+00,4.0000E+00,2.0563E-02,-1.3341E-03,1.5637E-03,1.3503E-03
20,8.5500E+02,7.9500E+02,7.5195E-03,-2.0528E-01,1.6971E-02,5.8742E-02,0.0000E+00,4.0000E+00,2.2142E-02,-2.4203E-03,1.0959E-03,3.1992E-04
21,8.5500E+02,7.8000E+02,-8.5171E-03,-2.3188E-01,1.5334E-02,1.1117E-01,0.0000E+00,4.0000E+00,2.0497E-02,-7.0440E-04,2.5839E-03,8.5128E-04
22,8.5500E+02,7.6500E+02,-2.3342E-02,-3.0161E-01,1.6752E-02,6.3629E-02,0.0000E+00,4.0000E+00,2.2326E-02,1.8476E-03,-1.2052E-04,-1.0274E-03
23,8.5500E+02,7.5000E+02,-5.8867E-03,-2.3707E-01,1.4120E-02,6.6389E-02,0.0000E+00,4.0000E+00,1.9228E-02,2.4775E-03,-1.9993E-03,-1.8933E-03
24,8.5500E+02,7.3500E+02,-2.7425E-02,-2.4019E-01,1.2073E-02,9.2981E-02,0.0000E+00,4.0000E+00,1.7208E-02,2.9992E-03,-1.3216E-03,-7.1809E-04
25,8.5500E+02,7.2000E+02,-4.3611E-02,-2.2214E-01,1.2556E-02,6.7353E-02,0.0000E+00,4.0000E+00,1.7407E-02,5.0840E-03,-2.2765E-03,1.2060E-03
26,8.5500E+02,7.0500E+02,-1.1200E-01,-2.0965E-01,1.3405E-02,6.5771E-02,0.0000E+00,4.0000E+00,1.8877E-02,4.9713E-03,-5.9138E-04,3.1366E-03
27,8.5500E+02,6.9000E+02,-1.0669E-01,-2.3941E-01,1.4649E-02,8.7635E-02,0.0000E+00,4.0000E+00,2.0580E-02,4.8977E-03,-1.2371E-03,2.2000E-03
28,8.5500E+02,6.7500E+02,-1.4488E-01,-1.4503E-01,1.4581E-02,6.4971E-02,0.0000E+00,4.0000E+00,2.1109E-02,2.8710E-03,2.5107E-03,4.2276E-04
