SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-2.5689E-01,-2.6840E-02,1.0510E-02,6.2371E-02,0.0000E+00,4.0000E+00,1.4979E-02,2.9025E-03,3.1220E-03,-8.7249E-04
1,8.4000E+02,7.6500E+02,-3.6095E-01,4.6356E-02,1.3519E-02,9.2442E-02,0.0000E+00,4.0000E+00,2.0493E-02,2.7750E-03,1.8672E-04,-1.2485E-03
2,8.4000E+02,7.8000E+02,-2.9107E-01,-1.8808E-02,1.1893E-02,1.0985E-01,0.0000E+00,4.0000E+00,1.7811E-02,2.4174E-03,-1.8390E-03,2.0412E-04
3,8.4000E+02,7.9500E+02,-2.8345E-01,-3.8464E-02,1.0149E-02,5.7395E-02,0.0000E+00,4.0000E+00,1.4934E-02,5.0206E-04,2.4750E-03,-1.0944E-03
4,8.4000E+02,8.1000E+02,-3.5311E-01,7.6962E-02,1.0005E-02,5.3138E-02,0.0000E+00,4.0000E+00,1.4220E-02,1.3313E-03,6.1884E-03,-7.4450E-04
5,8.4000E+02,8.2500E+02,-3.1904E-01,1.4749E-01,1.0441E-02,1.1430E-01,0.0000E+00,4.0000E+00,1.4936E-02,8.3235E-04,2.7098E-03,9.2581E-04
6,8.4000E+02,8.4000E+02,-2.7533E-01,1.3575E-01,1.0482E-02,4.9330E-02,0.0000E+00,4.0000E+00,1.5509E-02,-1.7612E-04,-2.0692E-03,1.0482E-03
7,8.4000E+02,8.5500E+02,-2.1185E-01,1.0454E-01,1.1419E-02,3.9200E-02,0.0000E+00,4.0000E+00,1.6539E-02,-1.5805E-04,-2.5459E-04,-7.4030E-04
8,8.4000E+02,8.7000E+02,-2.8194E-01,1.6297E-01,1.2017E-02,8.3985E-02,0.0000E+00,4.0000E+00,1.7019E-02,2.3615E-03,3.8458E-03,-2.1320E-03
9,8.4000E+02,8.8500E+02,-3.6020E-01,1.9333E-01,1.1277E-02,1.7301E-01,0.0000E+00,4.0000E+00,1.6068E-02,5.7225E-03,3.7467E-03,2.3950E-04
10,8.4000E+02,9.0000E+02,-3.1415E-01,2.2219E-01,1.2074E-02,1.3065E-01,0.0000E+00,4.0000E+00,1.6817E-02,8.7295E-03,3.5996E-03,1.4883E-03
11,8.4000E+02,9.1500E+02,-3.3628E-01,3.1585E-01,1.3061E-02,6.8381E-02,0.0000E+00,4.0000E+00,1.8035E-02,9.4786E-03,4.3692E-03,6.4923E-04
12,8.5500E+02,9.1500E+02,-1.7092E-01,3.0524E-01,1.0657E-02,5.6352E-02,0.0000E+00,4.0000E+00,1.5012E-02,7.0729E-03,2.3075E-03,1.5149E-04
13,8.5500E+02,9.0000E+02,-1.9652E-01,2.6810E-01,1.0773E-02,1.3575E-01,0.0000E+00,4.0000E+00,1.5190E-02,6.7758E-03,2.9097E-03,1.0632E-03
14,8.5500E+02,8.8500E+02,-2.5211E-01,2.1226E-01,1.0060E-02,1.7054E-01,0.0000E+00,4.0000E+00,1.4454E-02,4.8791E-03,4.7664E-03,6.9532E-04
15,8.5500E+02,8.7000E+02,-2.5089E-01,1.0295E-01,1.0264E-02,8.5217E-02,0.0000E+00,4.0000E+00,1.4650E-02,2.7621E-03,3.8698E-03,-1.1270E-03
16,8.5500E+02,8.5500E+02,-2.4492E-01,7.0949E-02,1.0882E-02,7.9940E-02,0.0000E+00,4.0000E+00,1.5755E-02,4.8968E-04,-1.5077E-03,3.5249E-04
17,8.5500E+02,8.4000E+02,-2.8051E-01,1.4545E-01,1.0497E-02,6.0188E-02,0.0000E+00,4.0000E+00,1.5414E-02,-2.4663E-04,-2.0003E-03,1.8263E-03
18,8.5500E+02,8.2500E+02,-2.8873E-01,1.5246E-01,1.0244E-02,1.2138E-01,0.0000E+00,4.0000E+00,1.4657E-02,-1.0903E-03,3.5315E-03,1.6767E-03
19,8.5500E+02,8.1000E+02,-3.4081E-01,4.2033E-02,1.0227E-02,5.6624E-02,0.0000E+00,4.0000E+00,1.4883E-02,-3.1009E-03,6.1723E-03,4.0165E-04
20,8.5500E+02,7.9500E+02,-2.6620E-01,-3.1715E-02,1.3142E-02,4.5369E-02,0.0000E+00,4.0000E+00,2.0471E-02,-4.2171E-03,2.2902E-03,-8.1016E-04
21,8.5500E+02,7.8000E+02,-2.9804E-01,-1.0420E-02,1.1056E-02,1.2522E-01,0.0000E+00,4.0000E+00,1.6699E-02,-2.9709E-03,-9.3764E-04,-1.0381E-03
22,8.5500E+02,7.6500E+02,-2.6260E-01,-6.0464E-03,1.0934E-02,9.6408E-02,0.0000E+00,4.0000E+00,1.6607E-02,-4.8254E-04,3.1999E-04,-2.0998E-03
23,8.5500E+02,7.5000E+02,-2.2358E-01,-1.3493E-02,9.5645E-03,9.5244E-02,0.0000E+00,4.0000E+00,1.4060E-02,5.2031E-04,2.4084E-03,-1.2755E-03
24,8.5500E+02,7.3500E+02,-3.0358E-01,-8.6339E-02,8.3148E-03,1.2687E-01,0.0000E+00,4.0000E+00,1.1828E-02,6.0343E-05,2.8292E-03,8.7444E-04
25,8.5500E+02,7.2000E+02,-2.9415E-01,-1.0152E-01,8.9511E-03,8.4414E-02,0.0000E+00,4.0000E+00,1.3101E-02,1.3463E-03,-1.6359E-03,-2.7032E-03
26,8.5500E+02,7.0500E+02,-2.5488E-01,-9.1893E-03,9.5698E-03,7.6972E-02,0.0000E+00,4.0000E+00,1.4025E-02,7.2999E-04,-1.0055E-03,-3.0202E-03
27,8.5500E+02,6.9000E+02,-2.0374E-01,-5.6909E-02,1.1251E-02,9.4410E-02,0.0000E+00,4.0000E+00,1.6814E-02,2.8163E-03,6.9849E-05,-3.4345E-04
