SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-1.8386E-02,-1.1380E-01,1.5769E-02,5.2266E-02,0.0000E+00,4.0000E+00,2.1975E-02,5.1736E-03,6.0989E-04,-1.2089E-03
1,8.4000E+02,7.6500E+02,-9.3000E-02,-8.7701E-02,1.8091E-02,8.7803E-02,0.0000E+00,4.0000E+00,2.5524E-02,5.5522E-03,1.9581E-03,-4.5604E-04
2,8.4000E+02,7.8000E+02,2.5403E-02,-3.1272E-02,1.5452E-02,1.1238E-01,0.0000E+00,4.0000E+00,2.1447E-02,5.9856E-03,1.7459E-03,3.3902E-04
3,8.4000E+02,7.9500E+02,-1.1929E-02,-6.7956E-02,1.4936E-02,5.8473E-02,0.0000E+00,4.0000E+00,2.0537E-02,3.6667E-03,-3.6777E-03,-3.0843E-03
4,8.4000E+02,8.1000E+02,-1.0848E-01,-1.7387E-01,1.4701E-02,6.2778E-02,0.0000E+00,4.0000E+00,2.1101E-02,3.2433E-03,-3.5023E-03,-1.7143E-03
5,8.4000E+02,8.2500E+02,-1.1591E-01,-1.5642E-01,1.5095E-02,1.1878E-01,0.0000E+00,4.0000E+00,2.0994E-02,1.0754E-03,1.8403E-03,4.5857E-04
6,8.4000E+02,8.4000E+02,-7.0614E-02,-1.2141E-01,1.4133E-02,4.6041E-02,0.0000E+00,4.0000E+00,1.9165E-02,-1.9373E-03,1.6040E-03,5.9627E-04
7,8.4000E+02,8.5500E+02,1.5842E-02,-1.0373E-01,1.3925E-02,3.4457E-02,0.0000E+00,4.0000E+00,1.9224E-02,-5.1722E-03,9.1433E-04,-4.3771E-04
8,8.4000E+02,8.7000E+02,-1.6249E-02,-6.4204E-02,1.7297E-02,8.0675E-02,0.0000E+00,4.0000E+00,2.4009E-02,-4.5090E-03,7.1524E-04,-5.3610E-04
9,8.4000E+02,8.8500E+02,-6.8647E-02,-1.0904E-01,1.7631E-02,1.4753E-01,0.0000E+00,4.0000E+00,2.4829E-02,-8.2893E-04,-1.8301E-03,1.5864E-03
10,8.4000E+02,9.0000E+02,-2.4671E-02,-1.7919E-01,1.7715E-02,1.2129E-01,0.0000E+00,4.0000E+00,2.5690E-02,4.4207E-03,-5.6094E-04,1.6369E-03
11,8.4000E+02,9.1500E+02,-9.3472E-02,-9.7975E-02,1.7329E-02,7.7927E-02,0.0000E+00,4.0000E+00,2.5122E-02,6.1010E-03,2.6528E-03,2.1342E-04
12,8.5500E+02,9.1500E+02,4.7606E-02,-1.1407E-01,1.4839E-02,5.1823E-02,0.0000E+00,4.0000E+00,2.0869E-02,4.2611E-03,1.9844E-03,-4.1151E-04
13,8.5500E+02,9.0000E+02,1.6682E-02,-1.1231E-01,1.7064E-02,1.3281E-01,0.0000E+00,4.0000E+00,2.3914E-02,3.3398E-03,-4.7468E-05,5.1450E-04
14,8.5500E+02,8.8500E+02,-5.2674E-02,-6.9288E-02,1.7015E-02,1.4246E-01,0.0000E+00,4.0000E+00,2.3646E-02,3.0088E-04,-9.7178E-04,8.3595E-04
15,8.5500E+02,8.7000E+02,-1.1092E-01,-1.1727E-01,1.4000E-02,7.9223E-02,0.0000E+00,4.0000E+00,1.9847E-02,-2.1333E-03,-1.8053E-04,-6.6004E-04
16,8.5500E+02,8.5500E+02,-1.0883E-01,-1.1749E-01,1.2957E-02,7.5335E-02,0.0000E+00,4.0000E+00,1.8041E-02,-3.0062E-03,-4.8774E-04,-3.5215E-04
17,8.5500E+02,8.4000E+02,-8.4660E-02,-1.1489E-01,1.3895E-02,6.7308E-02,0.0000E+00,4.0000E+00,1.9038E-02,-1.0518E-03,1.1973E-03,4.3418E-04
18,8.5500E+02,8.2500E+02,-6.4454E-02,-1.6090E-01,1.5536E-02,1.2817E-01,0.0000E+00,4.0000E+00,2.1779E-02,1.2373E-03,2.3087E-03,3.2848E-04
19,8.5500E+02,8.1000E+02,-9.7521E-02,-1.7273E-01,1.6389E-02,6.2981E-02,0.0000E+00,4.0000E+00,2.3192E-02,1.3401E-03,-2.8047E-03,-1.2820E-03
20,8.5500E+02,7.9500E+02,7.1363E-02,-3.8374E-02,1.9701E-02,5.5765E-02,0.0000E+00,4.0000E+00,2.8873E-02,4.8260E-04,-3.2683E-03,-2.6067E-03
21,8.5500E+02,7.8000E+02,9.5843E-02,-9.3362E-02,1.6387E-02,1.1140E-01,0.0000E+00,4.0000E+00,2.2905E-02,7.5879E-04,1.9424E-03,-3.2973E-04
22,8.5500E+02,7.6500E+02,2.1766E-02,-1.2315E-01,1.7448E-02,7.0774E-02,0.0000E+00,4.0000E+00,2.3178E-02,2.0364E-03,1.7605E-03,-6.6056E-04
23,8.5500E+02,7.5000E+02,4.5428E-02,-1.2813E-01,1.5227E-02,7.2914E-02,0.0000E+00,4.0000E+00,2.1042E-02,2.8222E-03,-3.4516E-04,-1.2742E-03
24,8.5500E+02,7.3500E+02,1.8031E-02,-1.3295E-01,1.4500E-02,9.0711E-02,0.0000E+00,4.0000E+00,2.0489E-02,3.7140E-03,-6.2565E-04,1.4728E-03
25,8.5500E+02,7.2000E+02,-6.9671E-02,-1.3368E-01,1.6116E-02,6.4113E-02,0.0000E+00,4.0000E+00,2.2733E-02,6.2778E-03,4.8337E-04,2.8995E-03
26,8.5500E+02,7.0500E+02,-1.2269E-01,-1.5016E-01,1.6035E-02,5.4446E-02,0.0000E+00,4.0000E+00,2.2911E-02,8.6856E-03,-1.3562E-03,2.0875E-03
27,8.5500E+02,6.9000E+02,-1.5315E-01,-6.7046E-02,1.6557E-02,7.3487E-02,0.0000E+00,4.0000E+00,2.4712E-02,1.0095E-02,-2.4884E-03,1.5914E-03
28,8.5500E+02,6.7500E+02,-1.7121E-01,-8.0060E-02,1.6824E-02,6.5892E-02,0.0000E+00,4.0000E+00,2.4995E-02,8.3095E-03,3.7460E-03,1.4557E-03
29,8.5500E+02,6.6000E+02,-1.0423E-01,-2.2196E-01,1.5285E-02,1.2211E-01,0.0000E+00,4.0000E+00,2.1075E-02,4.8324E-03,3.5884E-03,1.6445E-03
30,8.5500E+02,6.4500E+02,-9.1370E-02,-1.6489E-01,1.3855E-02,9.7801E-02,0.0000E+00,4.0000E+00,1.9438E-02,1.2130E-03,-6.8581E-04,1.4182E-03
