SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-1.4957E-01,-1.3411E-01,1.0522E-02,5.8976E-02,0.0000E+00,4.0000E+00,1.4665E-02,7.0813E-04,-9.9677E-04,-2.0769E-03
1,8.4000E+02,7.6500E+02,-1.6800E-01,-1.6194E-01,1.4073E-02,7.6199E-02,0.0000E+00,4.0000E+00,1.9827E-02,4.1547E-04,-2.7714E-03,-1.4128E-03
2,8.4000E+02,7.8000E+02,-1.1559E-01,-2.3912E-01,1.2532E-02,1.0970E-01,0.0000E+00,4.0000E+00,1.7268E-02,1.2365E-03,-8.5632E-04,-3.5293E-04
3,8.4000E+02,7.9500E+02,-1.6535E-01,-2.3588E-01,1.0536E-02,6.6716E-02,0.0000E+00,4.0000E+00,1.4911E-02,9.0803E-04,2.8261E-03,-2.7554E-03
4,8.4000E+02,8.1000E+02,-2.9679E-01,-1.5236E-01,9.4628E-03,5.7568E-02,0.0000E+00,4.0000E+00,1.3794E-02,2.8228E-03,2.0292E-03,-2.5272E-03
5,8.4000E+02,8.2500E+02,-3.0265E-01,-1.6106E-01,1.0073E-02,1.0795E-01,0.0000E+00,4.0000E+00,1.3981E-02,1.6216E-03,-1.2591E-03,2.1906E-04
6,8.4000E+02,8.4000E+02,-2.7366E-01,-1.9386E-01,1.1392E-02,4.7782E-02,0.0000E+00,4.0000E+00,1.5651E-02,-5.9207E-04,-2.2251E-03,-8.2096E-05
7,8.4000E+02,8.5500E+02,-2.0534E-01,-2.2639E-01,1.0824E-02,3.8915E-02,0.0000E+00,4.0000E+00,1.5150E-02,-4.3646E-03,-2.9272E-04,-9.3304E-04
8,8.4000E+02,8.7000E+02,-2.1151E-01,-1.7214E-01,1.1663E-02,8.4691E-02,0.0000E+00,4.0000E+00,1.6860E-02,-5.2270E-03,3.4753E-03,-5.4494E-04
9,8.4000E+02,8.8500E+02,-2.5871E-01,-1.6054E-01,1.2261E-02,1.6499E-01,0.0000E+00,4.0000E+00,1.7624E-02,-3.5731E-03,3.6806E-03,1.5023E-03
10,8.4000E+02,9.0000E+02,-2.1721E-01,-1.3333E-01,1.2756E-02,1.3145E-01,0.0000E+00,4.0000E+00,1.7983E-02,-1.2047E-03,4.2304E-03,3.0197E-03
11,8.4000E+02,9.1500E+02,-1.4591E-01,1.8894E-02,1.3913E-02,8.0691E-02,0.0000E+00,4.0000E+00,1.9179E-02,-9.9372E-04,5.8261E-03,3.1993E-03
12,8.5500E+02,9.1500E+02,-1.5216E-01,-3.0407E-02,1.1001E-02,5.9868E-02,0.0000E+00,4.0000E+00,1.5678E-02,2.8071E-03,3.5446E-03,1.3354E-03
13,8.5500E+02,9.0000E+02,-2.4080E-01,-5.2039E-02,1.1886E-02,1.5903E-01,0.0000E+00,4.0000E+00,1.6958E-02,2.1732E-03,3.3146E-03,1.7043E-03
14,8.5500E+02,8.8500E+02,-2.8320E-01,-1.0378E-01,1.1859E-02,1.7611E-01,0.0000E+00,4.0000E+00,1.6967E-02,1.9667E-04,4.0624E-03,1.4918E-03
15,8.5500E+02,8.7000E+02,-3.2457E-01,-2.3361E-01,1.0266E-02,8.9252E-02,0.0000E+00,4.0000E+00,1.4641E-02,-1.6796E-03,3.0455E-03,-2.8456E-04
16,8.5500E+02,8.5500E+02,-3.0363E-01,-2.4607E-01,9.3791E-03,8.6146E-02,0.0000E+00,4.0000E+00,1.3124E-02,-1.8194E-03,-1.1022E-03,-5.3214E-04
17,8.5500E+02,8.4000E+02,-2.5922E-01,-1.9432E-01,8.9652E-03,7.1072E-02,0.0000E+00,4.0000E+00,1.2414E-02,-1.1209E-04,-2.2104E-03,4.5554E-04
18,8.5500E+02,8.2500E+02,-2.4546E-01,-1.7773E-01,9.2824E-03,1.2573E-01,0.0000E+00,4.0000E+00,1.2980E-02,8.5876E-04,-1.0043E-03,6.9473E-04
19,8.5500E+02,8.1000E+02,-2.9551E-01,-1.6019E-01,1.0695E-02,5.8269E-02,0.0000E+00,4.0000E+00,1.5706E-02,-4.7343E-04,2.1832E-03,-1.4278E-03
20,8.5500E+02,7.9500E+02,-9.6972E-02,-2.2386E-01,1.4027E-02,5.2023E-02,0.0000E+00,4.0000E+00,1.8956E-02,-1.8741E-03,2.6168E-03,-1.9781E-03
21,8.5500E+02,7.8000E+02,-1.4441E-01,-2.4185E-01,1.2659E-02,1.1451E-01,0.0000E+00,4.0000E+00,1.7606E-02,-2.8486E-03,2.9964E-04,-5.0281E-04
22,8.5500E+02,7.6500E+02,-1.5201E-01,-2.4637E-01,1.2545E-02,7.0990E-02,0.0000E+00,4.0000E+00,1.7445E-02,-1.4435E-03,-1.6804E-03,-1.5130E-03
23,8.5500E+02,7.5000E+02,-1.1824E-01,-1.8034E-01,9.3945E-03,8.8399E-02,0.0000E+00,4.0000E+00,1.2968E-02,-4.6607E-04,-2.3397E-03,-2.1237E-03
24,8.5500E+02,7.3500E+02,-1.9520E-01,-2.2287E-01,8.1561E-03,1.3438E-01,0.0000E+00,4.0000E+00,1.1746E-02,1.3152E-03,2.8696E-04,-3.2816E-05
25,8.5500E+02,7.2000E+02,-1.6259E-01,-2.2041E-01,8.8148E-03,8.3347E-02,0.0000E+00,4.0000E+00,1.2563E-02,5.4180E-03,-3.7080E-03,-2.7725E-04
26,8.5500E+02,7.0500E+02,-1.6606E-01,-7.5294E-02,9.1255E-03,6.1191E-02,0.0000E+00,4.0000E+00,1.3380E-02,6.4666E-03,-3.1195E-04,9.0213E-04
27,8.5500E+02,6.9000E+02,-1.8198E-01,-2.2050E-01,1.1030E-02,8.5721E-02,0.0000E+00,4.0000E+00,1.5938E-02,8.0618E-03,3.1660E-03,1.9283E-03
28,8.5500E+02,6.7500E+02,-2.3463E-01,-1.7679E-01,1.2040E-02,7.5548E-02,0.0000E+00,4.0000E+00,1.7650E-02,4.3049E-03,2.3261E-03,3.9505E-05
29,8.5500E+02,6.6000E+02,-5.8680E-02,-2.6756E-01,1.1361E-02,1.1991E-01,0.0000E+00,4.0000E+00,1.5574E-02,5.6932E-04,2.5964E-04,-1.6330E-03
30,8.5500E+02,6.4500E+02,-3.6306E-02,-1.8976E-01,9.2983E-03,9.9781E-02,0.0000E+00,4.0000E+00,1.2799E-02,-1.6612E-03,-2.6849E-03,2.2656E-04
31,8.5500E+02,6.3000E+02,-7.7700E-02,-1.6696E-01,8.3363E-03,9.9968E-02,0.0000E+00,4.0000E+00,1.1940E-02,1.4365E-03,-3.4931E-04,-2.4927E-05
32,8.5500E+02,6.1500E+02,-1.2062E-01,-1.8438E-01,9.3173E-03,9.5117E-02,0.0000E+00,4.0000E+00,1.3490E-02,4.0264E-03,1.1487E-03,-2.2796E-03
33,8.5500E+02,6.0000E+02,-3.6009E-02,-1.5404E-01,9.6825E-03,9.4789E-02,0.0000E+00,4.0000E+00,1.3789E-02,1.8384E-03,-7.3050E-04,-3.4290E-03
34,8.5500E+02,5.8500E+02,4.5120E-02,-9.5820E-02,1.0948E-02,1.3434E-01,0.0000E+00,4.0000E+00,1.4875E-02,-2.1191E-03,3.3417E-04,-2.4638E-03
35,8.5500E+02,5.7000E+02,-1.5010E-02,-1.9249E-01,1.1469E-02,1.9872E-01,0.0000E+00,4.0000E+00,1.6631E-02,-5.6104E-03,-2.4139E-04,-3.5398E-03
36,8.5500E+02,5.5500E+02,6.3207E-02,-8.2742E-02,8.9777E-03,1.7832E-01,0.0000E+00,4.0000E+00,1.2685E-02,-5.3967E-03,-9.3610E-05,-3.6739E-03
