SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,8.7599E-03,-2.6026E-02,1.5757E-02,5.7627E-02,0.0000E+00,4.0000E+00,2.2327E-02,7.7373E-03,9.2136E-04,-3.1987E-04
1,8.4000E+02,7.6500E+02,1.5151E-02,-1.0240E-02,1.6536E-02,8.9464E-02,0.0000E+00,4.0000E+00,2.4124E-02,8.1338E-03,-1.3003E-03,-3.1255E-04
2,8.4000E+02,7.8000E+02,3.6819E-02,-7.8047E-02,1.7143E-02,1.2149E-01,0.0000E+00,4.0000E+00,2.3319E-02,9.2677E-03,-1.4766E-03,-2.5675E-04
3,8.4000E+02,7.9500E+02,2.1580E-02,-1.2597E-01,1.5442E-02,6.5507E-02,0.0000E+00,4.0000E+00,2.1045E-02,4.6713E-03,-2.6051E-03,-1.3260E-03
4,8.4000E+02,8.1000E+02,2.2141E-03,-1.6046E-01,1.3661E-02,6.2740E-02,0.0000E+00,4.0000E+00,1.8997E-02,2.5233E-03,1.3739E-03,-1.3913E-03
5,8.4000E+02,8.2500E+02,-3.4005E-02,-3.2442E-02,1.4025E-02,1.1348E-01,0.0000E+00,4.0000E+00,1.9456E-02,-1.5867E-03,4.4700E-03,-1.4465E-03
6,8.4000E+02,8.4000E+02,5.7693E-03,2.4631E-02,1.2581E-02,4.7470E-02,0.0000E+00,4.0000E+00,1.7192E-02,-4.6003E-03,-1.0258E-03,-1.8934E-03
7,8.4000E+02,8.5500E+02,1.1049E-01,-4.0082E-02,1.3483E-02,4.5149E-02,0.0000E+00,4.0000E+00,1.9598E-02,-7.1588E-03,-2.6082E-03,-2.7495E-03
8,8.4000E+02,8.7000E+02,-1.4789E-02,-9.5733E-02,1.5254E-02,9.6877E-02,0.0000E+00,4.0000E+00,2.1073E-02,-4.3556E-03,-4.8892E-04,-2.1169E-03
9,8.4000E+02,8.8500E+02,-9.4504E-02,-1.0826E-01,1.5835E-02,1.5399E-01,0.0000E+00,4.0000E+00,2.2466E-02,9.1784E-04,-4.6345E-05,1.2761E-03
10,8.4000E+02,9.0000E+02,-1.9954E-02,-1.1109E-01,1.5815E-02,1.2078E-01,0.0000E+00,4.0000E+00,2.2936E-02,5.0562E-03,3.3238E-03,1.4789E-03
11,8.4000E+02,9.1500E+02,-3.4673E-02,9.5878E-03,1.4494E-02,7.6642E-02,0.0000E+00,4.0000E+00,1.9910E-02,5.1571E-03,7.0695E-03,3.5390E-04
12,8.5500E+02,9.1500E+02,6.8392E-02,-6.0463E-03,1.5630E-02,5.0042E-02,0.0000E+00,4.0000E+00,2.2293E-02,3.5066E-03,5.4999E-03,7.9540E-04
13,8.5500E+02,9.0000E+02,3.1296E-02,-9.6703E-02,1.5198E-02,1.3000E-01,0.0000E+00,4.0000E+00,2.1328E-02,2.8669E-03,2.3709E-03,1.9092E-03
14,8.5500E+02,8.8500E+02,-2.1866E-02,-8.7112E-02,1.5460E-02,1.5063E-01,0.0000E+00,4.0000E+00,2.1290E-02,1.7521E-04,2.7416E-04,2.0276E-03
15,8.5500E+02,8.7000E+02,-9.7398E-02,-1.0915E-01,1.3749E-02,8.2035E-02,0.0000E+00,4.0000E+00,1.9472E-02,-2.6594E-03,7.2394E-04,-1.0179E-03
16,8.5500E+02,8.5500E+02,-7.6041E-02,-1.2576E-01,1.3247E-02,8.8489E-02,0.0000E+00,4.0000E+00,1.8358E-02,-3.8798E-03,-1.5749E-03,-2.1388E-03
