SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-1.7966E-01,1.6417E-01,1.0186E-02,6.0892E-02,0.0000E+00,4.0000E+00,1.4672E-02,6.6053E-03,2.6440E-03,-8.8844E-04
1,8.4000E+02,7.6500E+02,-2.7322E-01,1.9654E-01,1.3809E-02,9.0260E-02,0.0000E+00,4.0000E+00,2.0071E-02,9.7974E-03,-1.3615E-03,-2.6094E-03
2,8.4000E+02,7.8000E+02,-3.4934E-01,1.0697E-01,1.2425E-02,1.1819E-01,0.0000E+00,4.0000E+00,1.8313E-02,9.8460E-03,-2.6419E-03,-7.7336E-04
3,8.4000E+02,7.9500E+02,-2.8326E-01,7.8946E-02,1.0503E-02,5.9499E-02,0.0000E+00,4.0000E+00,1.5216E-02,6.3162E-03,3.0104E-03,-8.6811E-04
4,8.4000E+02,8.1000E+02,-3.1005E-01,2.0915E-01,9.8288E-03,5.2574E-02,0.0000E+00,4.0000E+00,1.3678E-02,3.2042E-03,3.7878E-03,-4.5181E-04
5,8.4000E+02,8.2500E+02,-2.7669E-01,2.4199E-01,9.8788E-03,1.2592E-01,0.0000E+00,4.0000E+00,1.4236E-02,2.3155E-03,1.7336E-03,3.0183E-05
6,8.4000E+02,8.4000E+02,-2.5550E-01,2.5755E-01,1.0364E-02,5.4458E-02,0.0000E+00,4.0000E+00,1.5259E-02,2.0917E-03,-7.7409E-04,1.5340E-04
7,8.4000E+02,8.5500E+02,-1.9741E-01,1.8060E-01,1.0758E-02,3.8564E-02,0.0000E+00,4.0000E+00,1.5372E-02,9.0948E-05,-7.6017E-04,9.8094E-04
8,8.4000E+02,8.7000E+02,-1.6044E-01,2.2623E-01,1.1220E-02,8.4597E-02,0.0000E+00,4.0000E+00,1.5489E-02,9.0193E-04,1.9858E-03,1.9381E-04
9,8.4000E+02,8.8500E+02,-2.2568E-01,2.5987E-01,1.1575E-02,1.5951E-01,0.0000E+00,4.0000E+00,1.6216E-02,2.3165E-03,6.5554E-04,-1.1332E-03
10,8.4000E+02,9.0000E+02,-2.4989E-01,2.4800E-01,1.2335E-02,1.3003E-01,0.0000E+00,4.0000E+00,1.7300E-02,5.3812E-03,1.2955E-03,-8.0051E-05
11,8.4000E+02,9.1500E+02,-2.2889E-01,2.9076E-01,1.3743E-02,7.9631E-02,0.0000E+00,4.0000E+00,1.9103E-02,5.5789E-03,3.1068E-03,1.3921E-03
12,8.5500E+02,9.1500E+02,-1.1945E-01,2.8899E-01,1.0071E-02,5.8820E-02,0.0000E+00,4.0000E+00,1.4163E-02,3.1666E-03,2.8781E-03,7.3640E-04
13,8.5500E+02,9.0000E+02,-1.9242E-01,2.3884E-01,1.0646E-02,1.3672E-01,0.0000E+00,4.0000E+00,1.5024E-02,2.8168E-03,1.3547E-03,-7.5092E-04
14,8.5500E+02,8.8500E+02,-1.5109E-01,2.4221E-01,1.1328E-02,1.6753E-01,0.0000E+00,4.0000E+00,1.6011E-02,1.2167E-03,3.5050E-04,-1.5130E-03
15,8.5500E+02,8.7000E+02,-1.8839E-01,2.2136E-01,1.0710E-02,9.2151E-02,0.0000E+00,4.0000E+00,1.5057E-02,7.6386E-04,8.8962E-04,-2.9015E-04
