SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-1.8267E-01,8.1328E-02,7.6339E-03,7.0122E-02,0.0000E+00,4.0000E+00,1.1019E-02,3.3873E-03,2.4716E-03,-1.3826E-03
1,8.4000E+02,7.6500E+02,-2.5483E-01,1.7783E-01,9.2450E-03,1.0182E-01,0.0000E+00,4.0000E+00,1.3462E-02,3.7491E-03,1.5454E-03,-1.9435E-03
2,8.4000E+02,7.8000E+02,-1.6859E-01,9.4071E-02,1.0635E-02,1.3095E-01,0.0000E+00,4.0000E+00,1.5367E-02,4.4508E-03,-2.8098E-03,1.0967E-03
3,8.4000E+02,7.9500E+02,-1.3233E-01,-2.5738E-03,1.0145E-02,6.3473E-02,0.0000E+00,4.0000E+00,1.4899E-02,2.5656E-03,4.8350E-04,-1.0311E-04
4,8.4000E+02,8.1000E+02,-2.2112E-01,1.1244E-01,8.5159E-03,6.3732E-02,0.0000E+00,4.0000E+00,1.1926E-02,3.4114E-03,4.2018E-03,-1.4746E-03
5,8.4000E+02,8.2500E+02,-2.2675E-01,1.8736E-01,7.8578E-03,1.4949E-01,0.0000E+00,4.0000E+00,1.1318E-02,3.2860E-03,1.4125E-03,-1.1740E-03
6,8.4000E+02,8.4000E+02,-2.6412E-01,1.4659E-01,8.4793E-03,6.3950E-02,0.0000E+00,4.0000E+00,1.2553E-02,2.5343E-03,-2.7706E-03,-9.4530E-04
7,8.4000E+02,8.5500E+02,-2.2987E-01,7.0873E-02,8.8062E-03,4.8754E-02,0.0000E+00,4.0000E+00,1.2814E-02,2.0989E-04,-9.7888E-04,4.9587E-04
8,8.4000E+02,8.7000E+02,-2.0248E-01,1.1539E-01,9.7602E-03,1.0105E-01,0.0000E+00,4.0000E+00,1.3829E-02,4.6479E-04,4.4425E-03,-2.2896E-04
9,8.4000E+02,8.8500E+02,-3.0933E-01,1.9805E-01,1.0714E-02,1.9241E-01,0.0000E+00,4.0000E+00,1.5210E-02,2.9204E-03,2.3454E-03,1.4643E-03
10,8.4000E+02,9.0000E+02,-1.8718E-01,2.1060E-01,1.0713E-02,1.3883E-01,0.0000E+00,4.0000E+00,1.5069E-02,6.3523E-03,-2.4546E-03,3.6495E-03
