SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-3.2431E-02,-5.7515E-02,1.5621E-02,5.7659E-02,0.0000E+00,4.0000E+00,2.1678E-02,2.5428E-03,-3.4011E-03,2.7850E-05
1,8.4000E+02,7.6500E+02,3.0311E-02,-1.3361E-01,1.7154E-02,8.2795E-02,0.0000E+00,4.0000E+00,2.2999E-02,1.4271E-03,-2.9015E-03,7.8251E-04
2,8.4000E+02,7.8000E+02,7.0779E-02,-1.7342E-01,1.4549E-02,1.0361E-01,0.0000E+00,4.0000E+00,1.9725E-02,1.6815E-03,2.2836E-03,2.0054E-04
3,8.4000E+02,7.9500E+02,-1.0034E-02,-1.1375E-01,1.3954E-02,5.8304E-02,0.0000E+00,4.0000E+00,1.9117E-02,1.2537E-03,2.0020E-03,-1.3649E-03
4,8.4000E+02,8.1000E+02,-7.5194E-02,-1.0365E-01,1.3379E-02,5.8476E-02,0.0000E+00,4.0000E+00,1.9270E-02,2.4035E-03,3.7214E-04,7.8613E-04
5,8.4000E+02,8.2500E+02,-1.2343E-02,-7.8881E-02,1.3439E-02,1.0287E-01,0.0000E+00,4.0000E+00,1.8991E-02,2.4103E-04,2.3407E-03,9.1224E-04
6,8.4000E+02,8.4000E+02,1.0051E-03,-2.3719E-02,1.2696E-02,4.0400E-02,0.0000E+00,4.0000E+00,1.7657E-02,-2.5948E-03,-8.9448E-04,-6.7260E-04
7,8.4000E+02,8.5500E+02,5.5901E-02,-7.9681E-02,1.3062E-02,4.0684E-02,0.0000E+00,4.0000E+00,1.8429E-02,-5.8924E-03,-2.5107E-03,-9.0140E-04
8,8.4000E+02,8.7000E+02,5.5606E-02,-7.6812E-02,1.4355E-02,9.4225E-02,0.0000E+00,4.0000E+00,1.9824E-02,-4.6338E-03,9.1619E-04,-3.4381E-04
9,8.4000E+02,8.8500E+02,2.5606E-02,-7.3540E-02,1.3808E-02,1.4514E-01,0.0000E+00,4.0000E+00,1.9111E-02,-3.5699E-03,2.2652E-03,4.4402E-04
10,8.4000E+02,9.0000E+02,9.1601E-02,-5.0212E-02,1.5941E-02,1.1656E-01,0.0000E+00,4.0000E+00,2.2120E-02,-6.5440E-04,-3.6185E-05,2.0848E-03
11,8.4000E+02,9.1500E+02,8.8461E-02,-1.0005E-01,1.6986E-02,8.1232E-02,0.0000E+00,4.0000E+00,2.3545E-02,-1.5571E-03,-2.0544E-03,2.9086E-03
12,8.5500E+02,9.1500E+02,1.1655E-01,-4.2100E-02,1.4499E-02,5.1003E-02,0.0000E+00,4.0000E+00,2.0646E-02,-1.5303E-03,-1.6811E-03,2.8160E-03
13,8.5500E+02,9.0000E+02,1.6659E-02,-3.0085E-02,1.4159E-02,1.2576E-01,0.0000E+00,4.0000E+00,1.9921E-02,-8.1804E-04,6.9508E-05,1.8829E-03
14,8.5500E+02,8.8500E+02,4.2919E-02,-6.6283E-02,1.3141E-02,1.4883E-01,0.0000E+00,4.0000E+00,1.8591E-02,-1.8611E-03,2.9201E-03,1.1043E-03
15,8.5500E+02,8.7000E+02,-4.7712E-02,-1.3916E-01,1.4443E-02,8.7813E-02,0.0000E+00,4.0000E+00,2.0210E-02,-2.2793E-03,1.3768E-03,8.7423E-04
16,8.5500E+02,8.5500E+02,-6.7195E-02,-1.1504E-01,1.4824E-02,8.3653E-02,0.0000E+00,4.0000E+00,2.0539E-02,-2.8399E-03,-2.7108E-03,-3.3967E-04
17,8.5500E+02,8.4000E+02,-3.8676E-02,-4.1403E-02,1.2608E-02,6.7443E-02,0.0000E+00,4.0000E+00,1.7327E-02,-1.1302E-03,-1.4467E-03,-5.6459E-04
18,8.5500E+02,8.2500E+02,3.3503E-02,-6.2133E-02,1.2708E-02,1.1954E-01,0.0000E+00,4.0000E+00,1.8169E-02,-2.3354E-04,1.7598E-03,1.5512E-03
