SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,8.8261E-03,-6.6173E-02,1.5870E-02,5.5869E-02,0.0000E+00,4.0000E+00,2.2319E-02,3.5417E-03,-4.3883E-04,-6.1174E-04
1,8.4000E+02,7.6500E+02,-6.0986E-02,-5.0568E-02,1.7927E-02,7.7736E-02,0.0000E+00,4.0000E+00,2.5506E-02,3.5190E-03,1.3314E-03,-5.0646E-04
2,8.4000E+02,7.8000E+02,6.3317E-02,-2.0241E-03,1.5089E-02,9.8612E-02,0.0000E+00,4.0000E+00,2.2565E-02,3.8145E-03,2.2519E-03,-1.4170E-04
3,8.4000E+02,7.9500E+02,5.2130E-02,5.5558E-03,1.3521E-02,5.3180E-02,0.0000E+00,4.0000E+00,1.9890E-02,1.5609E-03,-2.6187E-03,-3.1942E-03
4,8.4000E+02,8.1000E+02,-2.8458E-02,-8.6686E-02,1.4952E-02,6.3803E-02,0.0000E+00,4.0000E+00,2.1168E-02,1.3853E-03,-2.6204E-03,-2.1787E-03
5,8.4000E+02,8.2500E+02,-7.8302E-03,-8.2570E-02,1.5539E-02,1.2541E-01,0.0000E+00,4.0000E+00,2.2011E-02,1.2047E-04,1.2263E-03,5.7955E-04
6,8.4000E+02,8.4000E+02,3.5816E-02,-8.6675E-02,1.3050E-02,4.4644E-02,0.0000E+00,4.0000E+00,1.8700E-02,-9.6797E-04,2.4338E-04,1.8191E-03
7,8.4000E+02,8.5500E+02,9.2143E-02,-1.0102E-01,1.3311E-02,3.1816E-02,0.0000E+00,4.0000E+00,1.8921E-02,-1.2079E-03,1.2443E-03,1.1710E-03
8,8.4000E+02,8.7000E+02,3.3170E-02,-5.1329E-02,1.6891E-02,8.1035E-02,0.0000E+00,4.0000E+00,2.3275E-02,4.2639E-04,1.2052E-03,1.3710E-04
9,8.4000E+02,8.8500E+02,-5.5655E-02,-8.5043E-02,1.8194E-02,1.5422E-01,0.0000E+00,4.0000E+00,2.5643E-02,2.3064E-03,-1.3951E-03,2.4094E-03
10,8.4000E+02,9.0000E+02,2.2047E-02,-1.2672E-01,1.8334E-02,1.3447E-01,0.0000E+00,4.0000E+00,2.6437E-02,2.9632E-03,-9.9392E-04,3.1456E-03
11,8.4000E+02,9.1500E+02,3.6578E-03,-9.1497E-02,1.7252E-02,8.3408E-02,0.0000E+00,4.0000E+00,2.4877E-02,2.4151E-03,3.4520E-04,1.4939E-03
12,8.5500E+02,9.1500E+02,3.6996E-02,-5.5629E-02,1.4555E-02,5.6485E-02,0.0000E+00,4.0000E+00,2.0525E-02,2.2850E-03,-4.2235E-04,-4.4633E-04
13,8.5500E+02,9.0000E+02,6.0786E-02,-3.0727E-02,1.6747E-02,1.4036E-01,0.0000E+00,4.0000E+00,2.3817E-02,3.1504E-03,-1.1766E-03,9.7512E-04
14,8.5500E+02,8.8500E+02,4.9065E-03,-2.3486E-03,1.6714E-02,1.4307E-01,0.0000E+00,4.0000E+00,2.4239E-02,2.6572E-03,-1.1434E-03,1.1693E-03
15,8.5500E+02,8.7000E+02,3.7060E-02,-2.2357E-02,1.4510E-02,7.4530E-02,0.0000E+00,4.0000E+00,2.0615E-02,1.0410E-03,5.4267E-04,5.9979E-05
16,8.5500E+02,8.5500E+02,4.6611E-02,-5.8344E-02,1.3280E-02,6.5548E-02,0.0000E+00,4.0000E+00,1.9000E-02,-1.0720E-03,5.6575E-04,1.2788E-03
17,8.5500E+02,8.4000E+02,2.2967E-02,-6.1623E-02,1.2738E-02,5.9652E-02,0.0000E+00,4.0000E+00,1.8111E-02,-1.3606E-03,8.0427E-04,2.0315E-03
18,8.5500E+02,8.2500E+02,6.9330E-03,-9.1230E-02,1.4574E-02,1.2973E-01,0.0000E+00,4.0000E+00,2.0647E-02,-8.5411E-04,1.7731E-03,1.1860E-03
19,8.5500E+02,8.1000E+02,-2.4962E-02,-1.3504E-01,1.5907E-02,6.0632E-02,0.0000E+00,4.0000E+00,2.1972E-02,-8.2706E-04,-2.1389E-03,-1.3134E-03
20,8.5500E+02,7.9500E+02,9.6088E-02,-2.1738E-02,1.7468E-02,4.7358E-02,0.0000E+00,4.0000E+00,2.6676E-02,-7.4959E-04,-2.3039E-03,-2.2175E-03
21,8.5500E+02,7.8000E+02,8.5844E-02,-6.2036E-02,1.5516E-02,9.3422E-02,0.0000E+00,4.0000E+00,2.2083E-02,6.6296E-04,2.3244E-03,-1.7704E-04
22,8.5500E+02,7.6500E+02,4.3649E-02,-1.0035E-01,1.7248E-02,6.3773E-02,0.0000E+00,4.0000E+00,2.3149E-02,1.8141E-03,1.4930E-03,-3.7216E-04
23,8.5500E+02,7.5000E+02,3.9579E-02,-7.7635E-02,1.4897E-02,7.4116E-02,0.0000E+00,4.0000E+00,2.0768E-02,2.6153E-03,-6.1020E-04,-3.6434E-04
24,8.5500E+02,7.3500E+02,-1.9267E-02,-7.6074E-02,1.3186E-02,8.4351E-02,0.0000E+00,4.0000E+00,1.8871E-02,2.4242E-03,-3.8935E-04,8.3592E-04
25,8.5500E+02,7.2000E+02,-6.0374E-02,-6.3516E-02,1.5467E-02,5.9635E-02,0.0000E+00,4.0000E+00,2.2221E-02,3.0614E-03,3.9264E-04,7.4971E-05
26,8.5500E+02,7.0500E+02,-6.1054E-02,-8.3691E-02,1.7000E-02,6.1157E-02,0.0000E+00,4.0000E+00,2.4191E-02,3.2276E-03,-3.6118E-04,6.7485E-04
27,8.5500E+02,6.9000E+02,-1.4471E-01,-5.7332E-02,1.6707E-02,8.1134E-02,0.0000E+00,4.0000E+00,2.4955E-02,5.4950E-03,-9.8574E-04,3.0723E-04
28,8.5500E+02,6.7500E+02,-1.7593E-01,-6.0553E-02,1.6173E-02,6.0297E-02,0.0000E+00,4.0000E+00,2.4115E-02,6.8335E-03,2.2434E-03,-1.2524E-03
29,8.5500E+02,6.6000E+02,-1.0350E-01,-1.4402E-01,1.5229E-02,1.1474E-01,0.0000E+00,4.0000E+00,2.1181E-02,4.8789E-03,2.5614E-03,5.6588E-05
30,8.5500E+02,6.4500E+02,-8.6854E-02,-1.2748E-01,1.2947E-02,1.0304E-01,0.0000E+00,4.0000E+00,1.8285E-02,6.4163E-04,5.4819E-05,6.0987E-04
31,8.5500E+02,6.3000E+02,-1.0219E-01,-1.2761E-01,1.3034E-02,9.3434E-02,0.0000E+00,4.0000E+00,1.8570E-02,-2.4608E-04,-9.3135E-05,-1.2934E-03
32,8.5500E+02,6.1500E+02,-9.0451E-02,-1.3373E-01,1.4583E-02,8.2661E-02,0.0000E+00,4.0000E+00,2.1106E-02,2.6536E-03,-1.7584E-03,-1.6704E-03
33,8.5500E+02,6.0000E+02,-4.3445E-02,-1.1253E-01,1.3766E-02,9.1209E-02,0.0000E+00,4.0000E+00,1.9944E-02,3.7020E-03,-2.3454E-03,5.0361E-04
34,8.5500E+02,5.8500E+02,-3.3087E-02,-9.6051E-02,1.4123E-02,1.2504E-01,0.0000E+00,4.0000E+00,2.0566E-02,2.0996E-03,2.3959E-03,2.8153E-03
35,8.5500E+02,5.7000E+02,-1.0858E-01,-1.3725E-01,1.5336E-02,1.7380E-01,0.0000E+00,4.0000E+00,2.2196E-02,9.4055E-05,1.6066E-03,1.3568E-03
36,8.5500E+02,5.5500E+02,-9.3658E-02,-1.1218E-01,1.4474E-02,1.3193E-01,0.0000E+00,4.0000E+00,2.0500E-02,2.7595E-04,-2.3506E-03,-9.2420E-04
37,8.5500E+02,5.4000E+02,-8.4259E-02,-1.0327E-01,1.4612E-02,6.3241E-02,0.0000E+00,4.0000E+00,2.0988E-02,2.3718E-03,1.1142E-03,-2.7208E-04
38,8.5500E+02,5.2500E+02,-1.1983E-01,-1.2939E-01,1.4968E-02,8.1630E-02,0.0000E+00,4.0000E+00,2.1725E-02,2.8466E-03,2.9760E-03,-8.1911E-04
39,8.5500E+02,5.1000E+02,-8.8224E-02,-1.3481E-01,1.4259E-02,1.0514E-01,0.0000E+00,4.0000E+00,2.0568E-02,1.6818E-03,-1.0055E-03,-2.2249E-03
40,8.5500E+02,4.9500E+02,-2.8923E-02,-1.0759E-01,1.4410E-02,1.0471E-01,0.0000E+00,4.0000E+00,2.1121E-02,6.0015E-04,4.3278E-04,-1.0407E-03
41,8.5500E+02,4.8000E+02,-9.2478E-02,-1.9164E-01,1.5079E-02,1.0097E-01,0.0000E+00,4.0000E+00,2.1762E-02,-1.5655E-04,3.5539E-03,8.3102E-04
42,8.5500E+02,4.6500E+02,-1.0254E-01,-2.1702E-01,1.6866E-02,1.1664E-01,0.0000E+00,4.0000E+00,2.3674E-02,1.1017E-03,8.7030E-04,2.4074E-04
43,8.7000E+02,1.8000E+02,-6.6063E-02,-2.7342E-01,1.3796E-02,7.4490E-02,0.0000E+00,4.0000E+00,1.9896E-02,1.9721E-03,-1.4038E-03,3.7737E-03
44,8.7000E+02,1.9500E+02,-5.5986E-02,-2.1644E-01,1.5781E-02,6.8462E-02,0.0000E+00,4.0000E+00,2.1727E-02,2.8173E-03,1.9895E-04,1.0287E-03
45,8.7000E+02,2.1000E+02,-1.4357E-01,-2.1308E-01,1.6102E-02,1.0028E-01,0.0000E+00,4.0000E+00,2.2270E-02,2.1481E-03,-7.5051E-04,-8.2803E-04
46,8.7000E+02,2.2500E+02,-1.4978E-01,-2.5691E-01,1.4240E-02,1.0174E-01,0.0000E+00,4.0000E+00,1.9977E-02,-1.5436E-03,4.5600E-04,3.1008E-03
47,8.7000E+02,2.4000E+02,2.8715E-02,-2.3286E-01,1.3052E-02,7.2082E-02,0.0000E+00,4.0000E+00,1.7990E-02,-2.8534E-03,4.8519E-03,4.4928E-03
48,8.7000E+02,2.5500E+02,-5.5544E-03,-9.0327E-02,1.2725E-02,3.2009E-02,0.0000E+00,4.0000E+00,1.7287E-02,-2.2168E-03,2.9152E-03,1.8312E-03
49,8.7000E+02,2.7000E+02,-1.8238E-02,-1.1943E-01,1.2362E-02,2.3553E-02,0.0000E+00,4.0000E+00,1.7963E-02,-2.2587E-04,-1.8718E-03,-1.9383E-04
50,8.7000E+02,2.8500E+02,-3.5931E-02,-1.3858E-01,1.2396E-02,3.2910E-02,0.0000E+00,4.0000E+00,1.8150E-02,-1.9420E-03,-1.9233E-03,-8.2721E-04
51,8.7000E+02,3.0000E+02,-4.0306E-02,-1.5476E-01,1.3816E-02,2.6235E-02,0.0000E+00,4.0000E+00,1.8495E-02,-2.7123E-03,-1.9049E-03,1.0178E-03
52,8.7000E+02,3.1500E+02,2.9877E-02,-1.8980E-01,1.3150E-02,8.9394E-02,0.0000E+00,4.0000E+00,1.8040E-02,-1.6560E-03,-2.5852E-03,3.3034E-04
53,8.7000E+02,3.3000E+02,-4.0341E-02,-2.3396E-01,1.4708E-02,1.1753E-01,0.0000E+00,4.0000E+00,2.0815E-02,1.1278E-03,-2.1541E-04,-1.8612E-03
54,8.7000E+02,3.4500E+02,-7.6977E-02,-1.7563E-01,1.6719E-02,8.6110E-02,0.0000E+00,4.0000E+00,2.3307E-02,2.0487E-03,4.1879E-03,3.4477E-04
